scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 U B' U L U' R2,D' B2 U B D' R U' B' D2,B F' D' R D B F' U' B2 F2,F' D U' L B L' B' D' B U F,B D' L2 B2 D' B' D B' L2 F U' F' D B',51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L' D2 B2 L U' L,F R U' L2 U B' D' R' F',L' U2 B U2 L2 F2 U' F U F2 L',B R U B' D2 B R' U' R2 B' R' D2 R',,39
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 B2 R F' D',R D L2 D2 L D L R',U2 R2 F' R' U' B U R F R2 U2,R D' R B' F D F' D' B R D R,B' D2 B' R U2 R' B D2 B' R U2 R' B2,49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B D2 L' F2 D2 F,L' D L U F D' B F' U' B2,F D L2 D' L' U B2 U' L F',D' B U R B2 L2 D L' B' L F2 L2 B2,B D' L2 B2 D' B' D B' L2 F U' F' D B',53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,L2 B' U F L' D F2,D2 L' D' F2 R' F2 L B',R2 F' R U R2 B U' R2 U' F R,D R' D' R D2 R' D2 F' R F D' R D',R2 U R2 U' B R2 D' R2 D B2 U' B U,52
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D2 U L2 R2,D2 U B2 R D2 B' U' B2,B2 F' D2 F L F L B' F' L2 D2,D2 B D R D' F' U2 R' U' R U2 B' F D2,B' D2 B' R U2 R' B D2 B' R U2 R' B2,50
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U2 R2 F D B' U2,F L' R U' L2 U R' F',B F2 D L2 U2 L2 D' B' D L D' F2,B2 R U B' U' B2 U B L2 R D F2 L2 R2,B2 D2 B D2 B R' B' R F' R F R' B R,54
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D2 U2 F R' B D' U,B' L U2 R' D2 R F2 U2,F2 D L D' U L' B' L B' U' F2,F2 U2 L B2 L' B2 U' L' U B2 U2 F2,R D' R' B2 L2 B' F' R' F' R B U' F2 L2 B2,53
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,U B D2 L B F D',B D' B' U R' U' B' D,B2 R' F' U B2 D2 F L' F' D2 F,R B L R2 B2 L' R' B2 D B2 D' B' R2 D2,R D' R' B2 L2 B' F' R' F' R B U' F2 L2 B2,55
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F2 U L' D B' U2,B D2 L' D2 B' L D B2 D,B2 D U2 R2 U' R' D B' U' B2 D2 B2,R' B L2 F' R F L2 R' B' D' R' D R2,R D' R' B2 L2 B' F' R' F' R B U' F2 L2 B2,55
