scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' F L' U' R B',D B2 F U2 B' D' U2,L R B' R' F R B' D' B2 R' F' L',B2 F' D F R F D F2 D' F R' B2,B D2 B' R U2 R' B D2 B' R U2 R',49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F' L' D2 F' U' L2,B' L D' U2 F' D R B' U2 L',U B L2 F' L2 D' F2 D F' U2 B' U,R U2 F' U2 L2 B L B' L U' F U R',D F' U2 F D' F' U2 F,49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U' L2 R2 U2 F2,L2 F U2 R2 B' D' U2 B F',R2 D' U' R2 F2 U' R2 U R2 D,L2 D2 R B F L B' L' F' R' D2 L2,U F' R2 F U' L2 U F' R2 F U' L2,48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F' D2 L F2 R2 B,B F D B2 U2 F' R' B U2 L2,D2 F2 D U' F R2 F' D U' R U2,R2 F U' F' L' U B' U' B L R2,F' D' F2 D' B D F2 D' B' D2 F,49
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R2 F' D' R' B,D2 B L B' U' R' U L' D2,U' B U2 R2 U R2 U B' U' R2 U2,F R2 B U L U' L' B' U' R2 F',L2 D R D' L2 D R' D',44
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B2 L' R2 F' L2,D2 R D R2 B' R2 D R',U' R B' U2 B' D' F D R2 B2 R' U,U F2 L' U R U' L R' F2 U',F' D' F2 D' B D F2 D' B' D2 F,46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B F' U',U R U L B2 L2 B2 R',R2 D U L' U L D2 F2 D U',F D R2 D B F' L' B' F D' R2 D' F',R' D2 R' U R D2 R' U' R2,44
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 D' L F R' B' U,D2 L F' L' F L' D2,D' U F2 D L U R' U' L' U' R',F' L' B L2 D' F L2 B' R' U L U' R,F' D2 B D F2 D' B' D F2 D F,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B2 D L U' B' U,B2 D L' F D' L R' B2 R,R F U B L2 R F2 L2 R' B' F R' F2,F R2 U' L' U B' U B U' L R2 F',R U2 R' B D2 B' R U2 R' B D2 B',52
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 D' R F' R,B' R2 U2 B' R2 U L' U' B2,R U' B' R' F U' R F' R U B R',L2 D2 R' D B' R D' B R' D' R B' D2 L2,D' L2 B U' L2 U L2 U B U' B2 D L2,53
