scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F U B D R2 D2,L' D' R2 F' L' F' R2 D U2,L2 D2 R2 U' R' U L U' L' R' D2,D' U B' D2 U2 L2 D' U B2 L,,36
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,F2 L2 F D' B D' R,U' L' U2 B U L' D U' B' U,L' R2 B' R' U' R B2 L B' R2,R2 B' D2 L' U2 F2 D2 R' U2 B' R2,L U B2 D U' L D F2 U' R U F2 D2,51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U R' B' L F2,R F' D2 L' R D2 F2 U R2,U F U L2 U L2 U' F' U',F D' L' B' L D U' B' U B U F',F L' D' L' D2 F2 U' R' U F2 D' L2 F',48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,R D' L2 B' L B2,B2 R U2 L B2 D B' F2 D2 U,R' D2 L R D F D' L' R' D2 R,L B L' U' B' L2 B U B' D' B2 D,,39
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R' D F' L D2 B,F' L' R' F L D U' B D',U' F2 D2 L2 B R B' L2 D2 F2 U,D' L U B U' L D' R' B' R D2 L2,B R' B U' F' L B F L B' U L' B2 R,52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F' D R D2 B,B D' B2 D F R F' D' B,L2 F' D U F' R D' F U' F,R' B2 L U' B' D' B2 D B U L' B2 L2 R,F L' D' L' D2 F2 U' R' U F2 D' L2 F',51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D2 B U' F2 R',B U B F' R' D L' B2 F,R B F' D2 B' L' F L' R',F L F R U' R' F' L' F' L,U B U' B' F' L2 B2 L B' L' B' L2 F,46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' U' L2 D' R,B D2 B2 L U B L' F2 D' F2,D2 R2 B D L' D' B' U2 R2 D2 L2,R B2 F2 D2 B' D' F D L2 F L B' L' R',F L' D' L' D2 F2 U' R' U F2 D' L2 F',53
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U' F U' F R2,L D' R D' L R' U2 B D,F R F2 L' F' R' F2 R2 U2 R2,F U B R2 D' L2 B2 R2 U' L2 F L' B',L' D2 B2 L' D F U' L2 U2 B2 L U' F' L' D,52
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,F2 R' F2 D F' U2,L B' F L2 F' U2 B D2,D2 F2 L D U2 R' D' U2 L' F2 D2,F U2 B2 U R' U2 R U' F' L2 B' L2 B' L',L' D2 B2 L' D F U' L2 U2 B2 L U' F' L' D,54
