scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R2 B2 R B' L' U',R D2 L B' U2 B D2,F2 D2 B2 L2 U' L' U2 L U' B2 D2,R' F' R2 F R2 B U2 F U2 B' R,U L' D2 L D U' F' D2 F D',45
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F2 D U B' L B,U' B' R' B F U2 L' U' L,D' U F2 R U2 R' F2 L' D U',B R B2 R' B' D B' D' B' R B R',L' B F' D2 B' F L',44
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L' F D' R F2 U B,L2 F U L' F U L U2 L2,R' F U2 F2 D2 B2 D2 R2 F R,D' U2 L F L' F' D' L' D2 U2,F' D' F D' U L' D L D U',46
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U B' L D' B' F2 L2,D2 B' L' U B L D2 F2,B' D2 R2 B2 R2 F L' D' B D' F',U2 R' D R D2 F D2 U2 R2 B R D' R,D' U F L2 F' D U' R F2 R',49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L2 D2 F D',U' F2 U L B' D' B F L',R' D2 B2 D2 F' L F' L' U2 F,B R' D U F' R D2 R' F D' U' R B',L' B F' D2 B' F L',43
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F2 U2 L2 B U,F' R2 U2 F' U F R2 U2,D2 B2 L B2 U2 B2 D' B D' U2 F2,D2 F U F' L2 F' L2 F L2 D U' F D,,37
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' B F' L' B' L2 D',F' R2 F' U' R' F2 U,U2 R' D' U2 L D' U B' U' L D2,R' D R' U R2 D2 R U' R' U' L2 D U,D2 B F L B' L' F' D2 B D B D' B2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B2 R' F2 D' L B,R D' U L U' L D,B L' R2 B' L' R2 B D B' L2 B',D F' R2 U L2 F' D F D' L2 U' R2 F D',D R2 U2 F' L2 U2 R2 B' D,47
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D2 B2 L D L' U',U2 R' U2 L F' R2 F2 L',L B2 F' U' F' L2 R' U B2 F2 D',D2 L' U B L' D L2 D' L' B' D2 U',B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,51
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R D2 L' B D' B2,F' L F2 R F L' R,B' F D L' D' B2 R' U R B' F',D' F' U F2 L F' L' D' L D2 F' U' F,B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,51
