scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U2 L' F' D2 U' F',B U L2 D2 U2 B' U2 F L2,B D F2 L' F' D' F R B' F' U2 L,R U R' U' L B R' F R B' F' L',D' R' D L R B2 R2 B' R B R B2 L',52
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,L B' F' U B F,D' B L2 B' D U R' U',L D2 R2 U' B F' L' U2 R2 D B' F,U2 F' U F R2 B2 U R B' R U' B2 R2 B2,L' R U' B2 U L R' F' U2 F,50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' R U' F' D' L',L R' F D L2 U2 R' B2 L F,F' U' B2 F' D F2 U' B' R B',R' D L B U2 B' U2 B' U2 L' D' R B2,R F2 L2 D' B2 L2 F2 U' R,48
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L D' B' F' D' R,D' U' B' L B F' U2 R U2,F' D' B' D B2 R' D' B2 D R B' F,U' L2 F2 L' R2 D' L2 U L2 D L' U' B2 R2,F' U2 F L' R U' B2 U L R',51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 L' F' D2 F' R',U' R D2 F R' D R D R2 D,L' B' U' F L2 F2 L2 B' R2 F' U' B2 L,F2 D' R2 B D2 B' R2 B D2 B' D F2,B D' U R2 D U' B,48
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,R' U B2 D2 R,R' D2 L F D' L' D',D' U' R U' L' B L R' D,L' U B U' R' U R B U B2 U' L,L' R U' B2 U L R' F' U2 F,43
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D' B' U R F2 D,U L' U F' L R' D F' U' R,B U' F' U' F' L B D B2 F2 U' R,B' U L U B L2 B L2 B2 L' U2 B,D' R' D L R B2 R2 B' R B R B2 L',53
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L2 D2 B2 F' R' D2,U' R' U B U' L2 B' U2 F',U' L' R B2 L R' U',B' R B2 R' B' L B U2 B' U B U B' L',R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U L B U2 R' D2,D2 U2 L R' D B F L' D,F2 R' B L B' R' F U' F' R2 F2,U' L' B2 L U B2 D L' F' L' F L2 D' B2,L' R U' B2 U L R' F' U2 F,50
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,R' D2 L F' L2,B' F' D L D U2 R' F' L2 F',U F2 L' B L' B' D' L2 F2 U2,B' U' B2 U L2 R2 F2 L D L' F2 L2 R2 B,,39
