scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B U2 R D L D2,U' L' U' B F U' B' U2 L,B' L' B' D L D' B L D2 B,B' D U R' U2 F U2 R D' U' B L,R2 D2 R U R' D2 R U' R,46
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U2 L2 B' L F2 R',U2 R B2 L2 B D' B R' U2,R2 F' R F U F' U' R,U' F' D' F D' U' F' D' F D2 U2,D2 R2 D' L2 D R2 D' L2 D',43
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F2 R' D B' D F',U B D B2 R B2 D' U' B',D L D' L D2 B' D2 B2 L2 D',D B' D B2 D B' D B' D B2 D B',B D F' D2 B R2 B' R2 D B' D2 F D2,50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B R' U R' D L,U' L' F R U R' U L,D R' U' B2 L2 U B R B,D U2 F D' B' F D F D' B F2 U2,B R F' R2 B U2 B' U2 R B' R2 F R2,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B L F R B,U B2 L2 D' B' L2 B' U' F R,B U' L2 F' R F' R' F2 U B',B2 U2 F D2 F U2 B2 D' U2 F D' U2,R' B R U2 R U2 B' U2 B R2 B' R U2,50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U F2 L2 D2 B U,F2 U2 F2 U2 R U' R' U',D2 B' D B2 U' L' U B' D,D U2 F D' L2 F' U' F U L2 U2,R2 F' R2 F D' R2 B R2 B' D2 F D' F',47
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,U B' D' U2 B' R,F' R' B L2 U' B D2 B2 F2,D2 U2 B R2 F' R2 B' U2,B D2 B' R U2 B R' D2 R B' U2 R',R2 D2 R2 D B' U' B2 D2 B' D' B' U B,48
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,R2 D2 L R' D U2,U B U2 L2 U2 L' F L B' U',D' R2 U R' F2 D2 R2 U' R,L F2 L2 F' L' F L' R B' U2 B R' F2,B' R2 U F R2 D' R D F' R2 U' B R,51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,F' L' D' L' D' U',L' R U B U2 B' L F2 U,R F' R F' D F2 D' F2 R2,L2 F L D L' D' L' F' D L2 D',R2 F L' F2 R' B R F R' B' F L F' R',49
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L' F D2 L R2 D',R' F' U R2 F2 U2 F2 R F,R2 U F' D2 U' B' R' B D2 R2,D' U' F' D2 F L D2 L' D2 L D L' U,D' R' U R2 D L2 D' R' D L2 R' U' R,51
