scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B' R2 B' U' F,L' B2 D' F' D U' F U2 R,B' R D L2 B2 L D R' U2 L,R' D L' R D2 U' F D2 U2 B' U' F' L,L2 B2 U B R D B2 D' B' R' U' L2,49
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D B' U2 F L,L' D' U' R' F U B2 R,R2 F R' D B' D' B2 D' B2 R2 F' R,R D L R D2 U2 R2 B' D2 U2 L R2,L2 D B' R2 F2 L2 F2 R2 B' D' L2,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 U R' D2 R',F' R' B2 F2 L B2 F',F' L2 F R' F2 L' R2 D2 R' B U2,R' B2 L2 B2 D' B' F L D2 B F R',F2 R D' B2 R2 B2 D' L' R' D2 L F2,47
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B' L2 U F R,L D' B2 D F L' F2 R D2 F,L U' L B' U L2 U' B L' U L' B2,U2 F L' B' U L' R B' D L2 R' F' U2,U2 L' R' U' R2 B2 R2 U' L R,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 U' L' D2 R,B' U B' D2 F U2 F D2 B' U,D2 R' F2 L2 B U' F2 D L B' U L',R2 D F R F R B' D B' F2 U B D' B,B2 U2 L' F' L F U2 L B L' B,52
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B' D B2 U' F U',D' B2 F' L2 B' D2 F' U2 B D',R' U' R2 D R' U' L' U B' L' B2,L' D' L' D F' D' U L D U2 F U L,L B' U' F' D' L' D F U B,50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R2 B R' F2 R',B R' D B D' R B R',F2 D' U' L D U' F' U2 F2,U2 B R D B R' D' R' B' R' D U2,R' B2 F2 L U L' B2 F2 R D',44
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R' B U' F2 L,R2 B F' D2 L' B F' D' U2,D2 U' B' R' F2 L' D2 F2 U' B' D R',R B2 D L' R F' D2 B L R' U' R',B' U' F' D' L D F U B L',48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L D2 B' R2 F D',R' B2 F2 D2 L F2 D L D',R' F2 L U' L B2 L2 F2 D' R' B,R D' B2 F2 U' B2 F2 D2 R',B L D' L' B' D F U L U B' U2 F',48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,D' L U2 F' U,F' U R2 F D B F2 U2 L' F2,D' F' L2 F R2 B' D B2 U' B2 U2,L D2 R2 F' D2 R2 D U L' F2 D U' L',D' U B2 D L B2 L' B' U' B' L2 B L',52
