scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F' L2 D' L R' F',F L D2 F2 D F D2 L',D2 F R' F2 U' F2 R F' D2,B D F2 D2 F2 D2 F D2 F D B',F U2 F R' F R F2 U2 B L B' F',46
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,D2 B' L' B' U2 R,U2 L' B R2 B' F' L U2,D2 U' L' F2 D2 L2 U2 R' B' U' L B',D' U B' L2 B U' B' D F2 D' B D,B' D' B D B' U B U' B L2 D L2 D',51
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,L F R2 U' F' L2,R F' D' L R' B L' F,U' L2 U R2 B L B' F2 L F2 R2,R' F2 L F R F2 U L' U' R' F2 R F' L',L2 U F' R2 F U' L2 U F' R2 F U',51
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 B' D2 L' R',F' U2 R' D B' D' B U2 F,U R2 B D' R2 B R2 D B' R2 U',U2 R U R B2 L D L2 D' B2 R2 U2,B F2 U L U' F2 D R' D R D2 B',49
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' D' L U' B L',B' L F D B' L' B2 F',U R' B2 D' R D B2 R U' L',R2 B U' L2 U B2 L B' L B L2 B R2,B D' R2 U' B' U R2 D' F D' F' D' B',50
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,R U B2 F2 R',R B2 D B R2 B R' D,F U2 B' U R D2 R' U' B U2 F',F' L' U2 R' U' F U F R F2 U' F' L,B' R D2 R' B L2 B2 F D L2 D' B2 F' L2,51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R' U2 F2 D' B' U2,L2 R F' U2 R' F D' L2,R2 F' L' D2 B' D2 L F R2,F R F' U R U B L R2 D2 F L2 D2,F U2 F R' F R F2 U2 B L B' F',48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U B D F U R2,D2 F R2 U L' R2 F' L,B' U' R F2 R' F D' F U' R' U2 B,B L2 B' U R U R' U2 B L2 B',B D' R2 U' B' U R2 D' F D' F' D' B',50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,F' D' B' D' L R U',L2 R2 B R B D R D' L2,R U B L2 B' U' R D F2 D' R2,B2 F' D2 F L B2 U2 F D' F D R F2 U2,,41
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B2 F' L2 F2 U',L R' D2 F L' F' R D',D2 L' U' L D' U' F' D' U2,R2 D L2 D' L2 B U' L2 U2 B U' B2 R2,B' R D2 R' B L2 B2 F D L2 D' B2 F' L2,49
