scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' R2 F U B2,F2 L R' F R U R2 D U2 F,L2 R' F R B' D' L2 B2 R' B' F' L2 R,R2 D2 B' L B' F' D' F' D B2 D' F2 D2 R2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,56
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F L2 D2 F2 L U',L2 R F' R F' U2 B' L' F2,L2 D2 L' D' L F L2 F' U B U' L2,D2 B' L B2 F2 R' F R2 B' F,B2 R B' D R2 F' L2 F R2 D' B R' B2 U2,51
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D2 L F L2 U2 F,B' F' R U2 B2 R F R B' R,U' B' R F2 R' B D B' D2 B D' U,F' L B2 U F D U' R' D' B2 L' F,,40
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F U' R U' L' F,F2 L R' U B R F U' F,B' L' B F' D' U2 R' D2 U2 F,L' R D' B' L B' D R2 U' F' L2 U R,F' L2 D' L' D L' F L' B' U' B L,50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L U2 F R2,L' D2 B2 D' R' F' U' B' F L,F' D U2 B' F L D' L2 R2 B,L' B' U' B2 L2 U B2 R2 F D R2 B U2 L,U' B' R' U R B L' B L B2 U B,50
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L2 B2 F U' B',B2 L' D2 B2 L' D B2 D R2 D,R' D F' D' F2 D B' D' F' L' D' B R2,L' R D2 U B D U' L' D L R',F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' L2 F R,R2 D F' U' B D' F R B L',R2 U' F' D2 R F2 R' D2 F U R2,L2 R' D' L2 D F L2 F' L' F L2 F' R,F' L F2 D2 B R B' D2 F L' F2,49
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R2 U' F2 L U2,F' U2 F' L U L2 F2 D R',B' U2 L' R2 F' R' D R' U' B U' L2,U B2 R D' B' L B D R' B2 L' U' L,U L U2 F' L D' L D L2 F2 U2 F' L',52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D U' L' F2 D F',F2 L R' F' U B' D' F',F' U R D2 B2 R B2 R' D2 B2 U' F,B2 R2 F' D2 F' D F2 R2 B2 U B L2 B',F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,53
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U' L2 R F' U',F' R U F R2 B U2 L R' U2,U' F2 D2 L B D B2 D' B' L' F2 U,U B2 D R2 B2 F2 L' F' U L B2 R2 B2 U' L',F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,56
