scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F2 U' R' B' U',F2 D' L2 D U2 R U2 F2,B R F L2 U' L2 U F' R' B',B U2 B D' U2 F' U2 F D U2 B2,R F' D2 F R' U2 R F' D2 F R' U2,46
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F U L' B R B' D,D' B' U B2 U' B' F' D L2,B D' R U' B2 L R' U2 L' D B',B2 F U2 B' U F R2 F2 U2 B U' B2,F2 D2 B' F' L' F L B D2 F' D' F' D,52
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' B' R2 D B',D' B2 L2 B2 L' F2 L' F D,B F' D2 F' D F D F' D B' F2,R2 B2 F D B2 R2 B2 D' B2 F' R2,U2 L' B2 L' D' L U' L2 D' L' U' R' F2,49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D L2 F' R D' U',R2 U2 R U2 R,D F2 L2 R' D' L' D' R F' L' D',F2 L' D' R D L2 R' D' B' D B D L' F2,F2 D2 B' F' L' F L B D2 F' D' F' D,49
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F2 D' L R2 B F',L' U2 B' R2 B R2 U2 L,D2 U' R' D R2 D' F2 U F2 D2,L U2 B2 U B U2 F' D L2 D' F U' L',U2 R2 U2 R' F2 L2 D2 L' D2 F2 R2 F2 L' F2,51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L2 U' R F2 D2,F2 R D2 L' D2 F' R' F',U2 B2 L' F2 R' D2 B2 R' F L' F L2,R' U R' U' R' U R B U' B' R U' R,U2 R F' D2 F R' U2 R F' D2 F R',50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L' D F',F2 L U' F' U R2 F2 R2,L U2 B' U2 L' D L' F L D',R2 F2 R2 U B U' F' U' F2 U2 B' U' F,U2 R2 U2 R' F2 L2 D2 L' D2 F2 R2 F2 L' F2,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L' D' R U2 B,D' F2 U2 B D R U2 L2,U' F' D F' R' F' R' F D' F' U F',R2 F R2 B' R F' D' R2 D F R2 F' R B,U2 R2 U2 R' F2 L2 D2 L' D2 F2 R2 F2 L' F2,53
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R' B2 U' F2 R B',U2 R' D' B U2 F' D,F2 D B' D F2 L2 F' L F L B,R' F D F' U2 F' L' B' L F2 D' F' U2 R,U2 R2 U2 R' F2 L2 D2 L' D2 F2 R2 F2 L' F2,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L U F R' D,B' D2 F' D' B2 D F2 D2 B',B' U B' D2 B U' B' D2 B2,L2 D2 R2 B F' R' F R' B' L' F L',L' B D L' D F' L D' B D' B2 L R U' R',50
