scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' L2 B U2,L' D L2 F2 L2 R D' L,D' L D2 R2 D R B' D B L' D,L' D' U B R2 B D' U R' D2 U2 B2,D' U B' R2 B D U' L' B2 L,45
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' U' R B F2,L R2 U2 R' U2 F2 R2 F' L',F' L' U' L' U2 F U' F' L U F,D F D F2 U2 R U F' D R2 D U,U B U' B' F' L2 B2 L B' L' B' L2 F,50
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F' R2 B2 D' B',D2 R D2 L B U' B' L2,B' U' F' U' B L' B' U B L' F,U2 L' D2 R D L U' L2 B' L2 U' L' D,U' B U2 B' D' U R U2 R' D,47
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' B2 R' B F D',R' F R2 B' D2 U B L' R',B' U2 B U2 B' U' B U' F2 L F2,L U F' D2 B' R' D L' D' R D2 L F U',R' B F' U2 B' F R',47
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' D2 L' D B' L,U' L2 B F2 U B' L2 U,D2 L2 U2 B F D R2 U L2 B F,D L' U' F D' U L' U B U',U' L2 D2 B R2 D2 L2 F U',44
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F2 U2 L' R2 D B',L B U F' R' F' D' R B' L',B' L' R B R' F' U F L B,D F' U L2 D2 B D2 U' L' U L2 U' F2 D',U' L2 D2 B R2 D2 L2 F U',49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B' L' B' D' F2,R2 B D' U' B2 U2 F2 D' B,L U R B' L2 U2 L2 B R' U' L',L' U L D2 F2 D L D' F2 D L' B D U',U F' L2 D2 R2 B' D2 L2 U,48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F R D' R2 D2 B,B2 R B' U' B2 U2 B R',L' D' B2 U' F U' F' D L U L U,B' U' B L' B L B2 L' B U B L B L',D' U R U R' D U' B U' B',50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 D' L D' R,B' L' D2 L B2 U' R' B R2 B2,F D' B U' L B2 L' U B' D F',L2 U2 L' B' L2 F U2 B2 F' L' U2 L2 F' L F,R' B F' U2 B' F R',48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B2 F D L2 B' L' D',U2 R' U' B' U2 B R U,B2 L2 U2 F L B' R2 B' L' F R2 F2,F' L F' U L' F R2 F L B2 L2 F' D B2 R2,F L F L' F2 L2 B F D F' D' B' L2,55
