scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R' D B R2 D',R F2 L2 B F2 D R' B U',B D' F2 L' D R2 B L F' U2 B2 F',L B2 F2 R' U R U' B2 F2 L' D',,37
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D R' F' U R' B2,L U B L D2 L2 B' U',B2 R F L R' B R' D2 F' D2 B R,B D' B' D2 B' U' F L2 F' U B,L' F L B D2 F' D' F' D F2 D2 B' F',50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' R D' L' D2,L B R' B' U B U2 R U L',U B' L' D2 U2 L2 D2 B2 U2 L B U',D' L' B2 R F2 U2 R' B2 L F2 D',,38
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 F U2 R',D2 B F R' B' L F' D,L2 D' U2 L B L' U2 L2 D,B2 L2 F2 U' L U' L' F2 L2 B2 D L D2 L',,35
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R' B' L' U F',R B L R' B' U B U2 L',F2 U' L R' F L' R F2,D F' D2 R D2 R D' R2 D' R' D2 F,D L B F' D' R D B' F L' D2,45
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,R2 D F2 R D2,R2 U L2 D F2 L D' L R2,R2 U' F' U' B' F R B U R2,L B2 R2 B' D B R' B2 D2 F D' F' D2 L',L' F L B2 F2 R' F' R B2 F2,48
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R D' F2 D2 R D',U R D R' B2 F R' F' U2 B,L2 F D' B' D' F2 D2 B F' L B L B,L D2 F L' F U2 B R B' U2 F2,,40
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F' L2 D' U2 R',D2 B2 U2 F R B2 L F' D,D' U L2 R2 D L' R2 B L' D U2,L R D U B' D B D' U' R' D' L',U2 B2 R2 F2 D R2 B2 L2 U',46
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D2 L B' D F',U' R' B2 U' R U' B D B,D B2 L2 R' F' L2 R2 B R' B2 D',D' L2 B' R U2 R' B L2 F' L' F2 L D,R' F D' F' R' B' L' D L B R2,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' F D' U' F L2,R U2 B' U2 F' L F R' U,D R D R B D2 U L2 U F L2,B R U' F' R F R' U R' B' D2,L' F L B D2 F' D' F' D F2 D2 B' F',50
