scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' R2 B L' B F,D' L R2 F' U2 B2 U' B D' L2,F2 L U R' D R F' D' U' L',B2 F' R2 U' F' L' U' L U F R2 B2 F,,39
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 F L2 R U F2,B2 U F' U B F U B,U' F' U' F' R U R' U2 F U2,D' F U' B2 D B D2 B U F' R2 D,L2 D' L2 D F' L2 U L2 U' F2 D F' D',49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 D B L' F U2,R D B L' B D2 U R D,F' L' B' R' F R F' U' B L F',L F U L2 B2 D B U R U' B L U',B' U' L2 R' D L R D2 L U R' B2 R B,53
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B D' B' R' D2 L',F2 D' L D F2 R2 B R2,U' F' D' F' L' U2 F L F D U,D' F' L2 D F D' U' F U F' L2 F D,L2 B' U2 F U B D F2 D B' U B D2,51
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D B' F' U2 R F2,L' R' D' B2 L' D' L2 B' R,B F2 U2 B' R' B R U2 R' B' F',D' L F L F' L2 D2 R' U B' U' R D',B' U' L2 R' D L R D2 L U R' B2 R B,53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B D2 R' F2 U R,R2 B' D U2 L' U L' D' R2,B F U2 F2 U' B' R F' R2 F2,R' D L2 U2 B' D' B D' U2 R D2 L2 D',D F D' F2 U L2 U' L2 F D' L2 D L2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L' R2 D2 U' F2 U',L R2 U' L2 B2 L B R2,F L F D B R' F' R B' D' L',D' F' L2 F2 D' L D L' F2 L2 F2 D F',F' D F D' F U' F' U L2 U L2 U2 F U,52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D2 L2 F D' B2 F2,R U R' B U2 B2 U2 B',D' L F L' F2 D,F D' F' L2 F2 D' L D L F2 L2 D F2,B' F' U' B F L2 D' L D' B R' D B' D L,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D R' D B' D L' U,D2 R2 B R' F2 L R',F2 R' U' F U R U' F2 U F',L F' U' R D R2 D' F' R' F U F L',L' D' B D' R B' D L' D L2 B' F' U B F,52
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D' B2 R' D2 B2,U' L' B' L R U' B U',B U2 F2 U' F' U' F' U2 B' F2,R U2 R B L2 U2 B U' L2 B' L2 U2 B' R2 D,F' D R2 B2 L' D L' D' L2 B2 R' U' R' D' F,53
