scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B2 U F' D' F2,F R2 D B' D' U' R' F',L U R2 U' L U2 R2 U' B' U' B,D' F L' F' L2 D2 R' B' L' R2 F2 R' D,D' F2 D B2 D' F2 D B2,45
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F' U L2 B L' U2 F2,L' D2 L R B' D' B2 R' B' D',R2 D' L U L' D L' U L R2,U L' U' L D2 B2 F' L F L' B2 D2,U' L D2 L' U L D2 L',47
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B U' L U2 R' B,U2 B' F2 D' B F2 U',R U' L' F L F U L' F' R',U L' B2 F2 R B' F L2 D B' F L' U,F U2 F D' F' U2 F D F2,45
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,B' R F2 L2 F2 D',B' R' F D' R D R2 B R',R2 F U' F' R B' L2 B' L2 B R,U B' F' D' F2 R2 B2 U' B' F' U,L U' R2 U L' U' R2 U,45
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F' R D L U' F,B2 F2 D U2 F2 D2 U',L2 B' D' F' U2 F2 U2 F D B,U F' L' D' L2 D F L U' L2 U2 L2,B2 R U' F2 U R' B2 R U' F2 U R',47
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L2 B' U L' F2,R' B' L' U2 F' L B R U2,D' F2 R2 U B2 U' B' R2 F2 D,R2 F U F' R B2 L B2 R' U F U2 F' R2,F U2 F D' F' U2 F D F2,47
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F2 L' U' R D2 B2,R2 U2 F R B' F2 R B U,R2 B L' B2 F U' F' U2 B L U' R2,B' D R' F U' F' R' F R U R D' B,L U' R2 U L' U' R2 U,48
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U' F R' U L D',F D2 L U2 B F2 U' R2 D,D' F D' R2 B' U B R2 D F' D,F' D2 B2 F L' D' R D2 L D F' R' D2,R U' F2 U R' B2 R U' F2 U R' B2,51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B L2 B2 D' R',U B' F D' R2 D R' B F',B R D' R F2 U R2 D L' B,L B2 L2 R' U L B' L2 B' U' B' U' L2 B' R,F' L2 F' R F L2 F' R' F2,48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D U2 F D2 R,B2 U' L2 B R' U R D' U,D2 L D F2 L F L F2 L2 F2 D,U L' U' B U2 B L' B2 L2 B2 L2 B' L' U2 B',B2 U R2 D2 L' D R' D R' D L D' U',53
