scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R2 B2 L U' B L2,U2 B' D' B2 D B L B2 F' U,L F L' D U L' B2 L B2 D' U',D2 F2 D B2 D' F2 U B' D2 U2 F L2 U,F2 U2 L2 D2 B' D2 L2 U2 F,49
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,F2 U R2 F D2,F' U' L' D2 B2 U' B' R2 D2 L',B' L U2 B2 R' D' R B2 F2 U2 L' B,F' D F L F L' F' R' F2 R F2 R D',F L B D2 F' D' F' D F2 D2 B' F' L',53
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D2 L F2 D L2 B,B D R' F R D' B' U2,U' B R' F2 L D L' F2 R B' U,L2 F L2 U B U L' R2 D' L B2 R2 B' U2,B' R2 U2 L2 F U2 R2 D2 B2,48
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,F L B2 F D' R',R B2 D L2 R' B' L' U B',U' R' U F2 U L' U2 R U L F2,U' F2 U' L' U F2 U' L D2 R' D2 U2,F2 R' B F' U F U' B' F R F,49
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,F2 D L2 B D',B2 U B' F' U' L' B2 F,L2 R D F2 D' F L' F L' R',D L2 D' F D B F' D B' L' F L' D' F',R F R D U' B' R' B D' U R2,48
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F R D L2 U',F2 D R U' F D2 B D U2,R2 D' L D2 U' R2 D' F2 U F R2,B L B' R2 D' B D R2 D' L' B' L2 D L2,F L B D2 F' D' F' D F2 D2 B' F' L',52
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F' D2 F' D2 L,D' U B L' D' F2 R B' F2 R' D2,D2 F' L F' L2 F2 L' D2 B2 U' R' U B2,L' U2 B R2 U' R' U' L2 U R U' F D2 L',B R' U' L' U L R B2 L2 B' L B L B,57
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,R D' L D B D',L' F' L' F' D2 B D' F R2 D',D2 L U2 R U' L U2 R' D2 R' U,U' L' F2 L U' R U R' D R2 F2 R' D' F U,B' R2 U2 L2 F U2 R2 D2 B2,51
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,L2 F' U' B2 R2,F L U' L2 F' R' U' L R,D2 R F' D' L2 D F R' D2,L R F L' B2 U2 B U B' U B2 L2 F' L2 R',L D' L D' U B' D B D U' L2,49
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,B L2 R D2 F D,F' R' U2 F U L2 U R F,L U2 R B' D2 R' B U F U F L',B2 R2 D' L U F' D' B' F' R2 B' D U2 L2 U,F2 U2 L2 D2 B' D2 L2 U2 F,51
