scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 B2 D B' D2 R',L' F2 L' B2 R2 F R B2 L2,U R D' F D2 U' F' D' U L R' U',B' R B R B R' B R B2 R2 B,D' B D B2 F2 U' B' U B2 F2,48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L B' U2 B' D' F,U' F D U' R' D' R2 U2,D B2 U R' F2 U R B2 D L D2,B2 U' B2 D' L2 D2 L2 D2 B' U B D',L B2 D2 F2 R' F2 D2 B2 L2,46
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 F' D2 F' R,L2 F L' D U B' U' F' D',B2 D2 U' B F' D' R2 B' F U B2,B R' F R' B R2 D R' D' F' R' B' R2 B',L2 B2 D2 F2 R F2 D2 B2 L',48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F' L' U F' R,R D B F U' R' B' R' F' D',B' D' F U R F' U' F2 R' F2 D B,B R2 D R D2 R D' R2 D' R2 B R' B2,D' B D B2 F2 U' B' U B2 F2,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 D2 R B L' R2,F' D2 L U2 R D2 U2 F',D B2 L' U' L B' L2 B L2 B' D',B D' R' U' L B2 L' U R2 D' R' D' B',L2 U' L' R B L' B' L R' U L',49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R' D' B R2,F' D L2 F2 L' D L' F' D',B2 R' U L U' B F' R F' R' B F,B' U B R2 B' U' L' B R2 B' L B,R B2 R B' F D' B2 D B F' R2,48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F L2 R' B' R2 F,D B' R U R D' F' U2,U' F' D U' R' B' R2 D' R' U F U,B' D2 B2 R' F D2 F' R B2 D2 B' R B2,F R2 B' R' B' R B2 R2 B' F' U' B U,52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F' R2 D' B,F2 U' F' U L' F2,B U' R' D' R U F2 D B' U' R' U,U2 F L2 F' U2 B D R F' R2 F R D B',L B2 D2 F2 R' F2 D2 B2 L2,45
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' L' D2 U' B' R,F2 U L' D B2 D' U' F,L U' R2 F' L' U' F R2 U L U L2,F D2 L' F L' U L' U' L F' L2 D2 F',U2 B F' L B' L' B' F U B U,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L' U' R2 D' R' B',D U' F2 D' R2 F R' U F,D U2 B' R' B' R D' U2 R F R',B' R U R' U' B' R B' U F D2 F' U' B',L2 U' L' R B L' B' L R' U L',51
