scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B L2 B' R F L2,D2 F' R F2 D' R2 B2 F' R,L2 R2 D2 R2 D' R' U' R D L2 U2,B' D2 R D' R' D' B U F' R' F U',B D R F' D2 F2 D2 F D' R' B' D2,50
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,L2 D2 F U' R2,D2 U' B R U R' B D2,D' U F2 D' B' D U B F2 U' B,B D' L' D2 B' D' B L B2 D,B2 U' B' F R2 B F' U' B2,43
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R D' F2 L' U' R2,L B2 F' L U2 L' R F L',U2 R' U' F2 D' U B' L' D F2 R B,L D L2 D L2 D2 R' B2 U L' B R B2,B2 U B2 R2 B2 F2 L2 F2 U' B2,50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R F D' F L2,B U2 L2 D' B' D2 U2 R' F',B2 U2 R F L' R2 B' F2 U2 L' F R,D L B L R' U' L2 R D',B2 U B2 R2 B2 F2 L2 F2 U' B2,45
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B2 R2 F2 D' F,F D2 F' R2 D' B R' B2,U R2 D B D B' F D2 F' R2 U' B,D2 B' R D R2 F2 R B R' F2 R D2,B' F' L' B2 D2 B2 L' B F L2,47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 F U R2 B,L2 F U2 F2 L2 R2 B R2,U R2 D R2 U' F' D U2 F' D' U2 F,R2 F2 U2 F' U2 R2 B' D' R2 F2 R B R,L2 F' D L F L2 R2 B' L' U' B R2,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B' F L B2 R2,R U2 B' U2 B' R B2 D R2,B R2 D' F2 D' F2 D L2 F' L2 R2,D2 B D' B' D2 L R2 U R2 U B' U' L',R2 B F R B2 D2 B2 R B' F',49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D B' U2 L B2,R' B2 D2 B2 L B' U B L' R',U R' F D F U' F U F D' R U',B' D' R D' R' B2 D2 B R' B R D2 B',D' B2 L2 R2 U L' R B' U2 B' L' R D2,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B U F' L' F2 D,R B' D B' L2 U F2 L2 D2,D' B2 U2 L' B' R B2 F L B R',B L B R' U B' R B' R' B2 U L' R,F' R U F L' F2 L2 F L' U' R' D,51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U2 F' R' U2 F' U,R B' U2 B' U B R B2 R2 U,U R2 D2 R2 B R2 F' L2 F R2 B' U,R2 B' D R D' B2 D R' D R D2 B' R2,B F R' B2 F2 U2 L' B' F U R2 U B2,54
