scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 L' F D L' R2,D2 F' R2 U' F2 U2 R' U' R' D2,U L F U2 F' L D' R D L2 U' B2,D' U' R' D B2 U' L U' L' U2 B2 U,R' U2 L U L U' L2 U2 L R B L' B',53
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R2 U L' D B' R U,F' D2 F' U F2 U' F2 U',U' R F D' F' U F2 D' F2,D2 L D' F D L' U2 R' B' R' B D2 U2,R B U2 F D F D' L F2 U B' U,49
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U2 F2 R' D' L,F' R2 U' F R U' R F,L' F' D' B' L2 F R2 U B L' U' R2,U B' F R2 B F' U,R F' U F2 R2 B2 F2 L2 B2 U' F R',44
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' B L R F2 R,L' B' F' R2 U2 L R2 F,R' B R' U' F2 D' F2 R2 B' U' B,L D' L2 F L2 R2 B' D L' D F D2 R2 D,F' U R2 U' B' F R D2 R' B,49
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D L' B' U2 L2 F',L' B2 F' L2 B L' D F,B2 R' U B2 U' F R B' F' R B',F U2 B2 R' F R' B R' U2 B2 D2 B' L,U B2 L F2 D2 B2 R F2 U,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' U R' D R',U' L2 R2 B D2 U' B' U L2 F',D L' F' D2 B2 L R' B2 D R D',L D F2 U2 R' D R' D' R2 D' U' L U',R B R2 D2 B2 D2 R2 B2 D2 B R',50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' D R' B D2 R2,U2 L' B2 U' L D2 R' F2 D2,L R' U2 F R' F' U' L' U' B R,F D B' D F D2 L D L2 D' L D B F2,R B U2 F D F D' L F2 U B' U,52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,U B2 U' L' F',B' L B F' L2 D2 L2 F,B U B U' L U' L' F' L' F U B2,F2 D F2 R2 U2 L' B2 L U2 R2 F D' F',B D2 F' R' B' R B F D2 B2 D' B D,51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' L' D R F2 D,D2 B2 L F2 D' L2 D' B2 D2,F2 D2 R F' R2 B U R' F R2 B' F2,D2 R2 B R' F R B' R2 F' U' R' D2 U,U' B2 F2 D L D' B2 F2 U R',50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L D L D R2 B',D2 R2 U' R D R2 U2 R' D,R B R' B F' L F U' B' U' B',R' D2 R U' R' F' L2 F D2 R B' U2 B U,B2 D2 B2 D B' R' U' B2 U B R D',52
