scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B2 L2 B D B' F,B' F2 U L2 B R F2 D L2,B U' R D2 R' F2 U' R D2 R U2 B',L2 U L2 B D' B2 U B' R2 D B2 U2,F2 D' B' D F2 D' B D,47
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L2 F2 D B' D L',B L' B' U2 L U2 B R B2,U' R D2 L F2 D2 R' D U B2 D',U2 B D F' L2 F D' B2 F U B F',,38
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F' D L B' F L',R2 B R2 D' R2 D B' R',B' R2 F U B2 D2 B2 D2 F' R2,F U' F U L' R U L U' R' F2,L U2 L' D' L U2 L' D,43
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L' D' L R' B' F' D,B U R' U' B L' B2 L,B U2 R' B U' B' U2 F2 R2 F U B' F,B L2 D' B2 R B' R B R' B2 D L2 B',L' D R' D' L D R D',49
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,D' L R D B' L' F',U2 B F U' F' R' B' U2 R,R' B2 U R2 D' L2 R2 D B2 U' R F2,D2 R2 U B2 D L' D' B' U' R2 D L D F,D' R2 D L D' R2 D L',50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U2 B2 L' R' B D,F U F L2 U' R2 F2 L' D',B F' U' F2 R' U B2 R F' R' B,F U R2 U' L U L' R2 U' F',R2 B D2 B' R B R' D2 R B' R,47
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D F2 R D2,R F' L2 B L2 U' B2 F U2,B U R2 U' F U R2 U2 R2 U B' F',R B F U' F' L' U' L U B' R',B' U2 B R' D2 R B' U2 B R' D2 R,48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D' U' L2 U F,D' R2 D2 L D' B2 R B2,L' U' R2 B2 U R2 B2 U B2 L,L' F2 R2 B' D' B2 D B' R' U2 L' U2 R' F2,F2 D' B' D F2 D' B D,45
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B R' U' F L' F,U R' B2 R B U2 B2 U,U2 L B U2 R' D2 R2 D2 U2 B' L' U2,B' R2 U2 L' B U B' L U2 R2 B,D L2 D' B2 U B' D' B2 U' B2 D B' L2,50
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,R D' F' U2,L R F' D2 F L' R2,B R' F2 R' F' U2 R' U R U F' R B',F L F' U' F U F L' U L U' L' F',L2 D F D' F2 U L2 U' L2 F D' L2 D,50
