scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L2 U R' F2 L2 D,R' U' R' B U' B' R,B2 R2 B' F R' D' R' F' L U L' B2,R F' U2 F D B R B2 R' D' R2,L U L' D' U B U' B' D U',46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L' B R2 U2 F',U' F D F' R B R2 B',F R2 D L B' L' F' R2,F D U R D U' B' D2 F',D' U B U B' D U' L U' L',40
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' F D2 R2 B D2,R' F D2 B' D2 F' R2,U' B2 F' U L' U B2 L U B' L F,F2 L D2 B' D2 L2 D2 B D2 L' F2 U2,,37
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R' D' U' L' R2 D,B R U2 R U2 B U R,R2 D B2 D' F D2 B' R2 B2 F' U',U R F D R' B D' F' U' R' U2 R2,L' U2 R B L B' L' R' U2 L2 U L' U',50
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B D' U' L' U L2 B',R2 F U R2 U' R F' U2,F2 U B2 U' B F L B2 L' B' F,L2 U2 R B' F D2 R' B F' U R U2 L2,D' U R' U2 R D U' B' U2 B,49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D2 B' D B L' F',B F D2 F' R2 B2,B' R U' F2 L' B L2 B D B' F2 U' R2,U' R D U' R B U B2 U' R' D' R' U',U' R U2 F2 D2 L D2 F2 U',47
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F' D' F L2 D,U2 R2 U' R D B' D' U2,R2 U2 B2 U F R' F2 L2 F U B' R2,F2 R2 U2 F' D' U L' D U R2 F2 U2,L' U2 R B L B' L' R' U2 L2 U L' U',50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D2 R B' L2 D F',F' R2 F' L2 D B' F2 D2,L' R D' F U B' F' R2 D R U' B L2,L F D B U2 B' R' D' R' F' L' R U',D' U B U B' D U' L U' L',50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 D2 L' B D,R F' U F U R2 U2 R,B2 U' B' L2 D' U' R D L' B L' B',U' R' B' U2 B R B' D' U B' R2 B D B,R' U' R D U B2 U2 B' U B U B2 D',52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R2 D' F' D' L,R F D' B R B' F' U',R B' U' F D' L R2 B' L' B2 D' F' U2,D' L D F D R2 D' B' L' U' L B F' U2,D' U B U B' D U' L U' L',50
