scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U' R2 F R' D',U' F2 D L U' L B2 F' D F',D' L B' R2 U' R2 B L' B2 D' B2 D,R' U' B2 L U L U' B2 U' R B2 L' B2,R2 F2 L2 D' L2 F2 R2 U',48
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B' F' U2 L2,D R' D' B' R2 U2 L' F' L2 U2,F' L2 D U2 L' F' D' L' U2 L2 U F U,D B2 U' L U B2 D2 R D R',U B' D U' L2 D' U B' U',46
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D F' D2 L' D',R2 B2 L F U F D2 B L2 D,U' B' L U L B2 R2 D' B' D L2 F2 U,R2 F2 U' R' D' L D2 R2 F' L' F R D',L2 B2 L2 B L' U' F' L2 F L U B',53
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B2 D' R2 B',U2 L B U L2 F R B2 U',D B D2 L D L2 B' L2 U' F' U,L2 B2 L B' L R2 U F2 R2 B' R F2 R' B,L B' D' U R B' R' D U' B,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F' L F2,D L' R U B' L' B2 F' U',U' F' U' F2 U F' D' L' D' U L D2,L B2 D' R' D2 R2 F' L' U R' F2 L B2 L',B F2 D2 R B2 D2 F2 L U2 B',48
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,U F2 U B L2,R2 B' R U2 B R2 B L2 D B2,D' L' R B2 D2 F' U' F' L B U2 L B,D' F' R2 F' R' F2 R F' U' R' U R' D,F' L F' R2 D' B R' B' R' F2 L' U',53
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U L' U2 F' D' L2,U F L' D' U B2 U2 F' R' D',L D' U' F' U' F' D2 R' U2 L B' L2 B2,L' B L B2 R2 U' B' R2 D2 F' D2 B2,F' L2 R2 B D B' L2 R2 F U',51
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,R2 U F2 L' B,U2 F D' L D' B2 U2 F2 L2 R',R D' U L' U2 L2 U2 L2 D U F' R',F2 L2 R D' R' D L' U R' U F U2 L' F2,U R2 F2 L2 D L2 F2 R2,49
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U' L' D2 B' F',U' R2 D2 B' U' F2 D' L2 U R',D U' F2 D2 U2 L D U' F' L2,R' B' R B2 U B2 U' B' U B U' R2 U R2,B' D2 L' D U' F L2 F D U' R' F2 U2 B,53
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R F2 R B,U' B L D B2 F L' D' B L',U2 R F D2 R F' R D2 R' F' U2 L,B2 D' L' R2 U2 R' U L F2 R2 D R B2,B' D' U R B D' R' B2 D U' L2 B D L',53
