scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B' D' L2 U' L,U R2 B U L2 R' D' L2 U,U' L R F L F' R2 F L2 R,U B2 L F' L D F L2 B R B R',B2 R F R' B2 R F' R',44
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R D2 F' L2 U L2 U2,B R' U' L2 F D L2 B',R' U' B2 L' D2 L B R2 B U R2,B' D B' D' B2 R' B R B' R' B' R,B D2 B' R U2 R' B D2 B' R U2 R',50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' D' B2 D2 B',B U2 L2 F D' L2 R U,U F2 R' U' R F2 U',D B U B U' R' B' U' B R D',F' R2 F' L F R2 F' L' F2,40
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,F2 R' D U' F D',R2 B2 L U' L' U' B2 R2,R2 F U2 F' U2 R' F' R',D L U2 L' B2 R' U R U' B' D',D' L2 D R D' L2 D R',41
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 F R U' L2,U B R2 U2 B2 U' B' U2,U L' U' B2 U B' U' B' U B' L,B R' B R2 U2 R2 B R2 U2 R' B',D' R U2 R' D R U2 R',43
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,L' B R D' U2,R' B R2 U L' D2 B' L B2,R D U F R2 B2 F' U B D' R,D U B2 D' R' B' D' R' D B R U',R U' F2 U R' B2 R U' F2 U R' B2,49
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L U' L' D' B L2 D,B' L U2 L F2 L B L,F2 D2 R B' R' B' U B D2 U F2,R B2 L U' R2 U L' B2 R2 B' R B,B D2 B' R U2 R' B D2 B' R U2 R',50
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,D B U L' B2 L',B2 U' B U' B R U' R',U2 F R' B U2 B' F U R2 F2 U',D R' B' U B R U B' U' B' D',B' D2 B' R U2 R' B D2 B' R U2 R' B2,49
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B2 R U F2 L' F',R' B2 R2 B' U' R2 B R',D B' R' B R' U2 R2 D' F2 U2 F2,R2 U R2 D R' U' R B D',R2 U R2 U' B R2 D' R2 D B2 U' B U,47
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U' R2 D2 U' F' D',L' D2 L F' U' F U,R' U2 F' U2 F2 R' F' L F2 L' R2 U,R' U2 L U B L' U L U2 B2 R B L',R2 U R2 U' B R2 D' R2 D B2 U' B U,51
