scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B2 R2 B U2 L' U',D' L' D' U2 B D2 F U2,R' D2 L D2 R2 U2 R',F' L' R U B2 L B L R' U' L' U2,D2 R2 U2 B2 R2 D2 L2 F2,41
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B F' D' U2 L',R' U' R' F2 R2 F2 D B D',U2 B' F' U2 R' U' R U2 B F U2,R' D F L' D' L' F' R' B D R2,U' F' L U L2 R2 D' L' B D L2 R2,48
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L' F' D' B2 U2 R2,U B U B' F2 R F' R' U2,L2 F' D' U L' D L' U' F2 L2,B' D' L' D U' F U B,D R F2 R' D' U F L2 F' U',43
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D' L2 D2 F D',U2 R D R2 B U2 B D',R F' U R U R' U2 F R' F2,B' D' F2 L' D' U B L2 D2 U' B,L2 B R2 U2 L2 U2 R2 D2 B' L2,44
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' U2 L B F2 L U2,D2 B2 D' B' R2 U2 R2 B' D',R2 B D' R' B2 U R' F2 L U',B2 D' L D2 U2 R' D F' D2 U2 B',U' L2 D' L' B' U' L2 U L B D U,49
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D R U' B2 R2,B' U R D2 L' B2 U' F D2 F2,R F' U2 F U R2 D B D' R,R2 D L D' U B' U' R2,D L' B F' D2 B' F L' D',42
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' D' R2 F2 D2,F2 R F2 U R U' R U2 R,F L2 D2 R' B D' R D' L2 F,U2 L' B' F U2 B F' L' U2,D' U' B' L' U' L2 U B L D L2 U,45
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B2 L' U2 B L2,F D2 B2 F' L' B' F D2 F2,R2 U R' U L' U L F' R U2 R2,B' D' L2 D U' F' D U' R' D' U2 B,D2 R2 U2 B2 R2 D2 L2 F2,45
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D' L2 F L D' U2,R' U F2 U' L' U2 B' L F,D2 L U2 R' D R U2 L' F' D2,B' D2 L B D2 U2 F' R' U2 B,L B2 R2 U' F2 U' L R' F R2 U2 B' R,48
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D2 B2 R2 F R',B' D U2 B' D2 L U' F2 R D,F L D' L' U L U' L2 D L,B' D' L' D2 U2 R D' U2 B,D U R B2 R D' U F' R2 D2 U2 B' D2,47
