scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F R' B' R2 D' R',U' F' L' F' L' U2 F2 U',L2 U2 F2 L' F2 U2 L' F' L' F,L U2 L' U2 L2 U L' F' L F U' L2,U' R U R2 F2 L D L' F2 R,46
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,D' F L' B2 U2 L,U2 R2 D2 B L' D L R2,B R B U F R F' R' U B2,B2 L' U' L U B' D2 U2 L' U2 L D2 B',R' F2 L D' L D2 R' D L' D R2 F2 L',50
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F2 R F R2 D L2,R2 B D' R D' R U2,L2 F U L' F2 L U' F' L2,R B2 L2 B' R B2 L2 B D B2 L2 B2 D' R2,U L F R' F2 D F L' F R U' F',48
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' D' L' F D2 F',D B' R' B' D2 B2 D',U2 F2 L D B2 D B2 D' L' F2,L' D' B' R B' R' B F U' B U F' D L,U L F R' F2 D F L' F R U' F',49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B F' D' L U' B2 L2,U' R B2 R D2 B R2,F L2 R U2 B L2 R2 D2 R U2,B F' U2 B U' B' D R' U' R D' U' B' F,U L F R' F2 D F L' F R U' F',50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,B U' L' R2 U2 B2,L R' B2 F R U' L' D2,R B R2 D B D' B' R2 U R' U2,B2 L' U' L2 U2 L' U2 L2 U L' U' L2 B2,R2 U B2 R' B R B U' R' U B U' R',51
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R' F2 U F R2,L' R' D F' L D R U,U' R2 D2 L D' L' R D' R U F2,R D2 B F U2 F U F' U B' F' D2 R',R2 U B2 R' B R B U' R' U B U' R',50
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' L2 U R2 B2,L2 B F L' B' L2,F2 L2 F L' U2 L' F R2 B R2,R2 D2 L D' L2 D2 L' D2 L D' L D2 L' R2,R F' D2 F R' U2 R F' D2 F R' U2,47
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F R D B U' L,D2 B' R2 U' B D2,F2 U F2 U2 F2 U F2,B2 U B2 F L2 F D F' L2 D' R2 D R2 F',R F' D2 F R' U2 R F' D2 F R' U2,45
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U B' L' F D' B2,U' F' L F' U F2,L' U R U' L B2 U' B2 R' U',D' B2 L2 U L2 B R2 F2 D F2 R2 D' B D2,U2 R F' D2 F R' U2 R F' D2 F R',48
