scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D R' B2 F' L2 U,D L' D2 F2 R2 F' L2 F' L',U' L2 D' F' D F L D L U,F' D' B U2 B' D F2 R F' R B U2 B',,38
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,D2 F' U' L' U' L',R2 D B D U2 L2 R F U2 L2,R' U' F2 L R' D2 U L' R U R,F2 R' F' L2 F R F' L2 F',B2 U L' B U' L B2 F2 R' D B' R D' F2,50
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U R' D' U F' L,L' R B' L D2 B2 R' B' D,B U' L2 F' D' F R F2 L2 R' U,F R2 B U2 R2 F R' F' U2 R2 B' R' F',B F U' L' U B L F' L2 D L B' L B',53
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L F2 U' L2 U' F,R D U2 R' D2 U2 B2 R' B2,B' R F D' L' D F' R' B,R' F U2 F' D' R' F U2 F' R D R,F U2 F U F2 L2 B D B' L2 F U F',49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F' L R2 D' B2 L2,D' F' L R B' L' B R2 F,R2 U2 L' D B D B' D' L U2 R2,B' U' B2 L2 D L2 D B2 U2 R2 U' R2 D' B,,40
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' R' B' D' L2 U,D L F L2 F2 R F L,B' F R' B R F' D B D',R2 B R U R U' R' F' U R' B' R F,F U2 F U F2 L2 B D B' L2 F U F',49
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F' R U B L',L B' F U' B2 U' B' F' L',R U2 B F' D' R2 D B' F U2 R',D' F' R2 F D' L' D' U2 L2 D U2 L D2,F' R2 F' R' F2 D2 B' L' B D2 F' R' F,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U' B R' U L2 B,D B U2 R' U2 R2 B R' B2,F' R' B R F U' L2 D' L2 U B',U2 B2 U B U' B U F' D B' D' B2 F U,F' R2 F' R' F2 D2 B' L' B D2 F' R' F,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' B' L' F2 D F',U B2 D B' D U2 B U,B F L2 D' B D2 L' D' L' B' F',U' F' D' R D L' R' D B' D' B L F U,B2 U L' B U' L B2 F2 R' D B' R D' F2,53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L2 U L B' L' R2,D2 F R B D' R' B' D F',D U' R D B D' B' R' D' U,R2 F D2 B' L2 D' B' F U2 B2 F' D' F',U' L2 B F D' F' L B' U B' R' U B U' L,53
