scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F' R' B D' L' F2,U' L2 D B R' B' L2 R' F R,U F' U B' D' L' U2 F R D F,B D' U F' D U' F L' R U' L B',L2 D' U B' D' B D U' L' D L',50
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D' L B' F2 U2,F' D' U2 L' U F L2 U L' R,F D R2 F' U L U' F' D' F2 R D',D B' L' F' L' F2 L2 R' D R B D,U' B2 D B D B' D2 B2 D U R D' R',52
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 F2 R' D F2,U2 B R B' D R2 B' F2 R2 F',U F U B' D' F' D' B' F D2 U2,B D R2 D2 F D2 R2 D2 F D B',U' B2 D B D B' D2 B2 D U R D' R',50
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 L' D' B' R',L B R' F' D' B' F2 D F',U' B' L F U L' U' F' U R' B' R2,D' U B2 F L B F' D' B D U',U2 L' R' U' L2 F2 L2 U' L R,47
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F2 U F' D' L U2,B' F' D' R2 U' B' F' L F2 L2,U F2 L D2 U L U2 F R2 D2 R',L R' B F' R' B' F L' R F,B' R2 U2 L2 F U2 R2 D2 B2,46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F2 L' U F U2,F2 U2 F L2 F2 L' F U2 F' U,B2 F R2 B' D R' F L2 U' B2 L2 B' D,U' B' R D2 U2 L' F' D' U L2 D' U2,B' R2 U2 L2 F U2 R2 D2 B2,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B' D U F2 R2,L' F' D' R' B2 D B' R F L',F U' L U R' U' L' R U' B U2 F',R' B L F2 D R D' L' U2 B',F2 R' B F' U F U' B' F R F,48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U L' D2 B' D',F D B L' D' R' F L F',B' F2 R' U' B D2 L D2 B U R' F2,B U F R D R2 D' F' R' U' R2 B',B R' U' L' U L R B2 L2 B' L B L B,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B L2 D' L' F,R' D F' U' B2 U2 R' B' F' L',B2 R' F' R U F D' R2 D U' F',U2 B2 F' L' D' B2 L R' U2 B R B2 F U2,L2 D' U B' D' B D U' L' D L',51
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L F2 R U' L B',L' F2 D U2 L R2 F U B',B F' D2 R2 D R F L B2 D' L' B',D R' F2 D F2 L2 B F R B' F' L2 R D',B' R2 U2 L2 F U2 R2 D2 B2,50
