scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B L' F D2 R2 U',L U F' L' D' B R B2 F,D' B F' U2 F2 L F L' B' F' R2 D,R2 B2 L2 D L2 B2 L R F L' R,D2 B2 D' L R' B U2 B' L' R D',49
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L U' B' L' U R',B2 R F L' R' D' R' B2 U R,R F R F' R2 B D2 L2 D2 R' B' R,U' R2 U' F' D' F' D U R F R U2,U B' F R' F2 R B F' U' F2,50
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B U2 F2 R,L' R2 U' L U2 L U2 R2 D2,D2 F' U' B' D2 B U F,D F' U2 B U F L U2 L' B' R' D',D2 B2 D' L R' B U2 B' L' R D',45
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R U' L' B' D R2,F U L2 F' D F U' F',R2 F' U2 F U2 L' B L B' R2 B,D L2 B' R' F2 R2 D' R' B R' F2 L2 R D',U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,53
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F2 L' D' F2 U L' F2,F' L F' D' F R' B' R F,L2 B R' U2 L2 F R2 D2 B R' B',F U R2 U' F' U' R' U2 R F R F',L2 F' D R' F D' L2 R2 U B' R U' B R2,53
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F2 D' F D2 R U2,B U' L2 U L U F2 D' F2,D2 L' D2 R B R' U B D2 U2 L D2,L2 F L2 F' L D2 U R' B2 U2 R D2 R' F' R,U2 F D' U L' U2 L D U' F',52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L' F U' L2 R F,D2 F U2 B' L' U B U F',R' U' R' U2 L' U' B2 L' D2 R B L2,D U2 F R U' F U F2 R2 U F D U R2 D2,F2 U B' F R' F2 R B F' U',52
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B' D F' U2 B' U,D U B U' B D B' D L',L B D F2 R F D' B' F L',U' B' L F2 L' U' R2 U B U2 R F' U F R2,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,54
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,D L' D U2 B F2,R2 D L' U R2 B' L' B2 U',B2 L R2 B2 R D F' D' L' D2 R B2,L' F U' L' U F' D2 B R D2 R' F' R F L,L R' F2 L' R U2,48
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,R2 U2 B' L B2,D R B F L D2 R' U' L',B' L' B2 F2 U' B' F D R F D',L F2 L R2 F' L D2 B2 D' R' B D' R' B2 L B2,R U2 L R' F2 L',47
