scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L D' R2 B F2 D,U' B2 F U B' R' B' U,R' U R2 U2 F U2 R U2 F' R2,L2 B' U' B L2 U' F L2 U2 L2 U F',R2 U' F L2 F' U R2 U' F L2 F' U,48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F D F' L D2 U2 R2,D2 B' U2 B L2 D2 U2 B R2,F U R' B U B' F' U2,R B' R B D2 B L B L' B2 D2 R2,U B' R B U B' R' B U2 R U R',48
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R U' R B2 D B' U,R2 D U R2 B2 L' B2 D' F' R2,R2 U2 L F' L' U2 F L' U L R2,F2 L U2 L' U2 F U2 L U2 L' F,U B R' F R F2 U B' F2 R' F' U' R,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U R D B2 U,B' D2 L' D2 U' R F2 U B,U F2 U2 R U2 R2 B F2 U B' U2,R U' L2 U R U' L U R2 U' L U,U' F L2 F' U R2 U' F L2 F' U R2,49
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,B D F2 R2 U2 L',R2 D U L D' L' B' L R2 B,R D2 B D F D' L2 B' D2 R',F' D2 L' B L B' F' U B' U' B F D2 F,U2 R F R2 D2 L B L' D2 R F' U2,52
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L' B' L' F' U',B' D F2 L' F2 D' L2 D2 L2 B,F2 R2 F2 D2 U' B2 L2 B' U2 B' D2,U' F2 R' F' L B' D2 B R2 F' R' F L' U,U2 R F R2 D2 L B L' D2 R F' U2,52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' L' D2 U R,D B L F2 L F2 L' B' D',D B2 D L D' B U2 B U2 B D',F' L' D2 F' U B' U' B F D2 L F,U' F2 L F2 D2 B R B' D2 F L' F' U,50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 L' U2 L2 B',D2 B' D U L U' R' D R B,L' D B D' R' U2 B U' B' L R,D' F L U' F2 L F2 L' U L' F' D,D B' R D' R2 F2 R2 D R' B D2 L' U2 L D,53
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' R2 F2 D2,D2 R' D R2 D2 L' R' F' L D2,L' U B2 U' B2 R2 U R2 B2 L,B D2 R' D' R D' F2 L U L2 U' B' F2,D' L' U2 L D2 B' R D' R2 F2 R2 D R' B D',52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F R' D' R' B2 R2,L D2 B2 D L' R D2 F R' F2,L F' D' R' D' R F L B2 D L2,L' F' L B F2 L B' L' F' L U' F U F',D B' R D' R2 F2 R2 D R' B D2 L' U2 L D,56
