scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,F2 R' B D2 L2,L' B' L R' F' R' F R2,U2 B' D' B2 D R2 B2 D' B2 R2 B' U2,F' U2 F R2 U2 B U2 R2 U2 L2 F L2,B2 R' B F' U2 B' F R' B2,46
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,D2 B D' L2 R U2,L2 U' L U L F U' F' L,F' D' U2 R B2 R2 U2 B D B' F,L B2 F' R U R' F' U' F U B2 F L',F' U' F' D' U L U L' D U' F2,50
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,D' F D L' U2,D R D L U R2 B2 R U' L',L F2 U2 R' U R F U F L',F L2 D L2 D F2 L2 D F2 D L2 D2 F,B2 R B F' U2 B' F R B2,47
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L' R F' R B' U2,D U2 R U' L' F D' L U' B2,U2 B2 U R2 U F D F D F2,U F' L2 F R F2 R' F' L2 F U' L D2 L',F2 D' B' U' L U B D F L' F,51
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,R2 B R' U R2,F2 R' U' L R U' B F2,L' B F' L' U2 F' U2 L B' F L,U2 R2 F' U2 L2 D R' D' R D B' D L2,B' L2 B2 L R D L' D' R' B2 L B L,50
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L R' U' F' R,U2 B' U B R' D2 R U2 B',F2 L' F L2 D2 U2 R D2 U2 L2 F,D2 U2 F D' B D F' D2 B' U' L' D' L U',F L F L' F2 L2 B F D F' D' B' L2,52
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L2 F D U' B2,D' L2 U2 B D' L2 U B2 D' F,F2 L B L2 B L2 B' L F2,D U' F2 U L F2 L' B F2 D B' D' L,F2 D' B' U' L U B D F L' F,48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D R U' F R2 U',B' D' B D' B R' D2 B,F2 L2 U L2 B2 L B' L B' L2 U' F2,U' L' D' L D B D2 B' D' L2 F' L2 D' U,R U2 R D U' B' U2 B D' U R2,51
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U F2 L' R2 F R,B L2 B' D' R' B R' D L2,R2 D F D2 L D2 L' D' F' R2,B2 R F2 U' B' F' R B R' F2 R F R' B2,B' L2 B2 L R D L' D' R' B2 L B L,52
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L2 R F D L2,R' D' B' U2 R U' B U' R,F' U B D' U R' B2 D B U2 F,L2 D B F R F2 R F R2 D' F' D B' D L2,B2 R' B F' U2 B' F R' B2,49
