scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D2 R' U' L' D',B' D' B2 D2 R2 U2 B2 L2 D' B,F2 L' R' F2 D U B' D U' R' D2,L2 D2 B U' B L B2 D2 B U B' L2,F' U2 F' D2 F U2 F' D2 F2,47
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B' L2 F' U B',B' U' F U L B R F' D2 R',D2 L' D2 U2 B F' U' B' F R2 U2,B' F R' B R B' D B' D' B2 F',U F U' B U F' U' B',45
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F' R' B U F' D2,L' R' F2 R2 D U L U' F' L,F' D B2 R' D2 U F2 U2 L' F2 D F,R U R' U' B' R B U F' U F U2,F' U2 F' D2 F U2 F' D2 F2,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B2 U' L2 R B2,L' F' D2 U L' B L' F' L U',R' F' D U2 L U2 F2 R2 F2 L' D' F,D2 B D' B' D' R2 D R' B2 R' B2 D',D' F R2 F' D F D' R2 D F',49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B' L F' R2 D B',D2 F2 L R U B L U' F,D2 B R U L2 B2 U L2 R' U' B' D2,D B2 U R' U' B' R2 B' R2 B2 R B2 D',D' F R2 F' D F D' R2 D F',50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D' R' B2 D' L,L' U2 B' D R' B D2 B2 U2 R,D' B F' L' F' L B' F L D R,B U2 L' B' L B U2 B2 U' B U,U F U' B U F' U' B',45
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R U F' U2 R,F2 L' D2 L' D2 U B' L U',R' B U' B' L2 D' B2 U B2 D R2,R2 F D B D B' D2 F' R2,R2 F' D L2 D' F R2 F' D L2 D' F,46
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R U' L' D2 B,D2 R D' U L' B F2 U R' U2,B' L D2 B' R' B' D' B2 D2 L' B,R2 B R D' F' R' F D R2 D B' D' R2,B2 U2 B D B' U2 B D' B,48
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' B2 U2 R' U,U' L2 B' R' D F2 D2 U2 R F,R2 F2 R' D' U F' D U R2 U2 R2 F2,R2 B2 R B' D' R' F D' F' D2 R B' R2,D' F R2 F' D F D' R2 D F',50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U2 L D U L,B' D2 F D2 L B U L' U',L' R' U' B R' B' R B' U' L R U2,B D' R2 B' R B U R2 D R' U' R B',B' D B2 U2 F' L2 B F D' B' U B' U,52
