scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D L U' F' U2 F' U2 R2 L' D' L2 D2 L' B D2 U' L2 U2 L2 U' R' U R,x2,B F' U L2 B' D2,D' B R' F D2 R' F' D B',L D B' R B D' F L' R U' R',B L' U' L U' L' U L2 B' U' L' U2 L,B F' L' F' L B' F U' F U,49
R' F D U B2 U F' U R B U2 B' D U' B D2 B2 R2 D' U' F D F' L B,x2,R' D B F' U F2,B' L U' L2 B L' U2 L2 U,U' F U R' D' F D R U' F',R D2 F2 U' B' F' U2 B F' D' L2 D' R',F L F L' F2 L2 B F D F' D' B' L2,51
R D U2 R L2 D' F D2 B' U' B2 R U2 L2 F' R' D L' D' R2,x2,U B' L' F' D B D',U L D L' D F2 D2 L',B2 F2 L' F2 R' F R2 U2 B' R' U2 L B2,F' U B' D F U2 F' D' B L2 U' F,F U' R2 B2 L2 D' B2 R2 F,49
D R2 L F2 R2 U' L2 D L2 F2 R' F2 R2 F D2 U2 R' U2 D L2 R2 B' U F2 B2,x2,F' D B' L' B2 F',B2 U B U' B U2,L' U' R' F' L R D U F D' U',B R' F' R B' R' F R,B F' U L2 U' B' F R U2 R',41
L2 D2 B' F2 L' R' D2 U2 F' D U2 F D2 B2 D2 R' L D2 U R' B L2 D' B,x2,F U L' U L2 U R2,L R' F2 U2 R B' L' B2 U',R F2 U L R' B2 F' R D2 B2 L' F2,D B' L' D B D' B R' B2 D' L B D' R,B F' L' F' L B' F U' F U,52
L' F L U B2 U' B R2 F U R' B2 L2 F D2 F L R2 B2 U' R F L2,x2,B L U B R,D B' R' B' D2 B2 L' D' L,L' U' F' L' U' F' L2 U F U' L2,R B' R B2 U2 R' F R F L2 B2 D2 B F2,B F' L' F' L B' F U' F U,49
D R2 L F2 D' F2 R F D' U' B' F' D' B R2 B' L' R' F' L R2 F' D2,x2,U F2 L' D2 L2 B R,R B' R B D' B' R2,B2 R' F R B2 U F U B F' L2 B',L' B D F2 D' B2 R2 D F2 D' R2 B L,L' D U' F2 D' U L',46
F L' D' L2 R' U' B' U F D R' L U2 B R F U F2 D2 B2 F,x2,F L U B2 F' L,R D2 B' L D2 R' U B2 L2,B' U2 R U R' U B L2 U' L F L,F' U' B R' F' L U' F U R B' F,D F D' F2 D2 B F R F' R' B' D2 F,52
R2 U R' L' U R2 U' F B2 L' F2 L' B2 U2 R2 F2 R' U' B R' D R2 B2,x2,L' D' R' D2 F' D F,B D' B' D L U' L',D' U2 B U F2 L2 F2 U' B' D U2,U2 L U2 L' U B R B2 R' U' B R B2 R',,39
D' R' B2 U2 L2 B' R' D' L' B2 R' L2 D' B2 D2 U2 R U D R F2,x2,U' F' D' L' D,B2 L' B' L D' B2 D,D' L U2 L2 U2 L2 U2 L D,D' B D2 L2 F2 L' F2 L' B' U2 B D2 B' D U2,,36
