scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U F D2 F R2 U2,D' F D U' B U R',B2 L' R' B' L2 U L2 U B' L R,B2 F R2 F L2 U L2 F' R2 B2 F' D,U R' D2 R U' R' D2 R,44
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 L' U2 F',R' U' R' B2 R' B' R U,F' L' D2 B D' B' D' L F,L' F' L F' D2 L' D2 B' R F2 U2 R' B L2,L' F2 L B2 L' F2 L B2,43
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R' B2 D2 F' D' B',U F U2 R' U R2 F' R,B' F' R U2 F U2 R' B F,R2 B R2 D R2 D' B L2 U F2 U' L2 B2,R' D2 R B' U2 B R' D2 R B' U2 B,48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B L' U' B' F' L,D' R' F' U' R2 D B U,D B L' U B2 L B U B' U2 B' D',R' F D' F R2 B2 U' L2 B' F2 U B' F2 R',B' U2 B R' D2 R B' U2 B R' D2 R,52
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,F' U B2 U L',U' B' R2 D U2 L D' U',B F' L F U2 F' D F U2 L' B',B U2 F D2 L2 R B' R' D U2 L2 D B' R2 F2,F' U2 F' D F U2 F' D' F2,48
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,D L2 F R2 U',U' B D' U F' R D R2,U' B' R2 U R2 B U L' B L B',B' F U' F' D' U F' D2 L D2 F D2 L' D' B,R' F' L2 F R F' L2 F,47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U B2 L' D B' D F2,R B' R' B2 R B,L2 B D' B2 R F' R' B2 D B' L2,R F2 R' D2 B' L' B' L2 U' B2 D' F2 R2 F2 D',F R2 F L' F' R2 F L F2,48
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,F2 L' R B L' F',R2 F R' F' U' B' R U,F R B U2 B' R2 F R F2,R' D2 B' L2 U R' B L B' R U' B D2 R F,U R' D2 R U' R' D2 R,46
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,L R2 F U2,R2 D U2 L' D U2 F' D2,F' U' F' D' F U L D F,F' R' B R2 U2 R2 D' F' U F2 D U B' R' F,D2 B2 D2 B' U2 B D2 B' U2 B' D2,47
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L R2 B' R' D' B' D2,F U' B R2 U R F' R2,U2 B2 F2 R2 B2 F' L U' L' F' U2,F U' B2 L2 D' B2 D R U' R' U B2 L2 F' U B2,B' U2 B R' D2 R B' U2 B R' D2 R,54
