scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B2 D L B' U2 L,L' B U2 L U2 B' L B2,D2 R U B2 R B2 R2 D2 U',U2 L D' F D L' U2 R U R U' R2,R' F' R B F U2 F2 U' F U F U2 B',48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,L' F' L' D' B2 U',R U2 F' L' F U2 B2,B' D U2 B2 U2 B' U2 B' D' U2 B,R' B' R B U R U2 B U B2 R' B R2,F L D2 L' B F' D R2 D' B',47
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F U L' F2 L D',B D' B' D' B' R2 B2 D',L2 U2 L U' F2 L' D' L D U' L2,B L2 D F' L2 B' L F U F2 L' U,F R' D' U F2 D U' R' F',46
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L' F U B' F2 U',R B2 U' F2 L F2 U B R2,F U2 F U2 B2 D' F D F2 R' B2,B2 D' R2 U' B2 L2 U' F2 D' L2 U2,F2 L2 B2 D' R2 B2 L2 U',45
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,U L2 D L' B' L,L' B L' B' D2 L' B L2,R' F R B' U R U' R' F' R' B,F2 L' U' L2 R' U' R U L' F R F,F R' D' U F2 D U' R' F',46
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 B' D R F' L D2,R B2 U R2 U' R2,L' B F D' B F' D R2 B' L B',L2 F L' B2 R F R' B2 F' L' B2 R' B2,L' B F' D R D' B' F L D',47
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U' B L2 R' U,B' D R2 B R' B D B',L U2 R U' R' U' L',U F2 U2 L' U2 L F L' U L F' U2 F2,F L D2 L' B F' D R2 D' B',43
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,R D2 F' D U' F2,R' D R' D R B D2 B',U' F' U' B2 D2 F D2 B U B F,U' L U B2 D2 F R F' D R' F' D B2,F' D' F D B R2 F' R' F' R F2 R2 B',51
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,D U' R D' F2 D',L' U R' D F2 R' F U' L,U' B' U2 B' R' B F R B F' U',R2 B' R F2 R2 D' F' R' D B R' F2 R,F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R' F D' F' L2 F,B F R D R2 B R F',U' L U2 F' U' F' L F' L' F L',D' B2 D' B F D' F' D B D B' R B,R' F' R B F U2 F2 U' F U F U2 B',51
