scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D' B2 F' R2 U B,B' F2 U2 F2 D' L' D2 L D',L2 U' L2 U F2 L' F L2 F' L F2,U L' D L D2 R' B2 R D U',D2 B' U B D2 R2 D2 L B L' B' D2 R2 U',50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' B2 D R F2 D2,F2 D' B2 D R U2 L B R',F' L' F2 D' B D' B' D2 F',U2 F U L' D F2 D' L U' F' U2,L' R2 B L' B' L2 D' L B L' B' L' D R2,49
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U' R' B' U2 R,F D2 B2 D' R2 F' D',F' L' B U' F U B' R U R',F L B' L' U L2 U2 L' U2 L' U' B F',D2 U' B' U' B U2 F' U B' U' B F D2 U',49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B' U' B' U2 L2 R2,F R2 U F2 U' B2 D L F',U F2 L' B L B' D' L2 D F2 U2,D' B L B L' B' U L B2 L2 D L U',D' L2 B L B' L D' B D L D' B' D2,52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F L R D B' F2,D2 L' R2 B' L B' U B2 D2,U F' U2 L F R D' B D R',D' B' L' B D' R' B' R D L D,D' L2 B L B' L D' B D L D' B' D2,49
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U2 B' F' D L' U2 R,R' F' L' R' B R2 F U,L' R' U L' U' L F' L F R,R' F L' F2 D' R2 B R2 D F2 L F' R,U R2 D2 B L B' L' D2 R2 D2 B' U' B D2,52
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L U' R2 U,D' F' R' B2 U' L' R F D U,F' U L U2 L2 B' U B F U,B2 D' B' D2 L2 D' B L2 B' L' B L' B2,F2 U R' B2 R U' F2 U R' B2 R U',49
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R' U B' U2 F,F' U' B' D' R D F U,R' F U' F' U R2 B' U2 B L2 R',F L2 D' B2 L F R' U2 R F' L' D L2 F',L' R2 B L' B' L2 D' L B L' B' L' D R2,52
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,D F' D2 R B U2,U2 L2 R F2 L D B2 L D,U F2 L2 B' U' B U L2 F2 U',F' L2 U' F' U L2 F2 L F' D' L' D L',L U' L' D' B2 U B U B' U2 B2 D U,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L2 D2 B D' B2 R,F R2 U2 R D U2 R2 F',R' F2 D' L' F' D F L F2 R,F' U2 B L B' L F U2 F' L2 U2 F,D2 B' U B D2 R2 D2 L B L' B' D2 R2 U',50
