scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,U' R' D2 B' U' F,D R D L' D2 L F R',B2 R' U' B2 R2 F2 L2 D' F2 R',B D B2 U' B' U2 R' U F L2 U2 R B2 D',D' U B' L2 B D U' L' F2 L,48
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F2 D F',D2 L' R' F' L2 D F R D2,D L' D U' L' F D' L U L D',B' F' D' F L2 U R2 B R' U' L2 R' B R,L' F2 L D' U B' L2 B D U',47
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L U F R' D F',B D' U2 F2 U2 R F' R' B',B' D2 B' R2 B' D2 B2 D2 B R2,D B U2 L2 B U2 F' L2 R2 U2 F L2 B' D,L' F' L' R U L U' L R' F,49
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U' F L D R2 B' F2,L B' U' F2 D U B,F L' R2 F U L2 U' F2 L R2 F',D F U2 F' L2 D' U R D U B' D2 R2 F' D,L' F2 L D' U B' L2 B D U',50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 B2 U L' B,R F' D2 R' D2,D F R2 B' L F2 L' B R2 F' D',L' B2 L' D' L' D B2 L2 U2 R2 U2 L' B' D B,U2 B2 D2 R D2 B2 U2 L,44
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F U2 L' R B' R',L2 F L2 D' L F2 D F2,F2 D' U2 F' D2 F D' R U2 L' F2,B2 F L2 U2 R B D' B2 D' U' B L U' L' B2,L' F2 L D' U B' L2 B D U',50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L2 B' R2 B' U F',D2 B' D2 B U2 B' U2 F,B2 D' F L F' L' D' L D2 B2,B2 L2 D' F' D L' D F' D L D' F D' L' B2,D' U B' L2 B D U' L' F2 L,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 F U2 L B' R' D,B2 U B2 F2 D L R2 D L',L2 B' D' F' D2 F L D L' D2 B L2,F' L' D2 B' D B L' R2 F2 L2 R' D' R' D F,L' U2 B2 D2 R' D2 B2 U2,51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,B' F U L' D' R,R2 D2 R D2 R' F R',B D2 U' F D F2 D' F' D2 U B',B' F' D L B' R2 F L F U' L R2 B2 D L F,B D2 F2 D' F D F D2 B' L' F' L F,53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' U' R F2,L2 D' B D' B' R D2 F R',L U2 R D' F2 D2 U F' U B2 D',B2 R U2 L D2 L2 D B U' R2 U B' D' U2 R' D2,B D U' L' F' L D' U B' L,50
