scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U' B' D U L' F,U L B F L2 B' F2 U L',R U' B' R' U' B2 D B L D' U2,D F U' R' B' D' R D B U R' F' D',B' U2 B R' D2 R B' U2 B R' D2 R,51
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,R2 D' B' R2 D F2,B R D' U2 B2 U' L2 B' R,U2 L2 U2 L D' L' D2 R2 F' D2,B' D2 B' L F2 L' B D2 L F2 L' B,U L2 B' U R B' R' U' B L' D L' D' U',51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 F' D' B' D2 L2,B2 D R' D' L2 B2 L2 F U2 B,R2 D2 F2 D2 U2 B' U R' U R',R F R' F2 U' R2 D' U F D F R F R',,40
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L2 D F' R2 B2,R U2 R' F R B L' U' L U2,B R2 B' U R' F D U' R' B D',F' R2 F' R' F2 R2 D R2 D2 F2 D R' F2,U' B R' U' B L B' U R B2 D' B D U,53
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F2 R B L' U F2,F' D U2 R2 B L B R' D',D' B' R2 B2 R2 F U L' U' B D',R U L' F L F' L' D' L D L U' R',F' L2 B2 L' D B D2 B L D B2 D' L F L,54
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D' F2 L2 F' L',R B' L' U L' B' D2 L2 U' B,D B' L F2 R U L2 U R' B,D B F R F R' B' F' U' R U F' D',F' L2 B2 L' D B D2 B L D B2 D' L F L,53
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 B D' B' U' L',L' D' R' D2 F2 U2 R' F2 D2 B',B L' R D2 L2 U' L' R' B,B2 U B L2 D' L B' L U' B L2 D L2 B,R B' D B L' D' B D' R U' F' D U R2 B',54
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,D F D' B2 F U2,L' F2 U F2 D' R D B' L,F' L R' D R U' R' U L F L2,L U' F' D' R2 B R2 B' D' R D2 F U L',B R' U R2 D B' D B D2 R2 U F U2 R B',55
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,F' D2 U F' R F2,L F' D' F2 D2 L' F' R2 B2,U2 B' D2 U R2 U' B2 U2 F D,U L' R F L F' L' R' D' L D L U',F' L2 B2 L' D B D2 B L D B2 D' L F L,53
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U R2 F2 R' D',U' L B' D B R' F L' R' B,D R F2 U B D2 B' L2 U' R' F,D' B R F' L2 B L F L2 B' L' R' B' D,R B' D B L' D' B D' R U' F' D U R2 B',55
