scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,U F D2 B',L' D F2 R2 D L' U L2 D2,U2 L2 R U' L' U B2 L U' L U R',R F U2 F D U' R' D' U' F' R',F2 L B2 F2 R' F2 D' R B2 F2 L' U,48
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,F2 D L R' U',F' L' U F' L R2 D2,R B2 D2 U' L D2 R' B R U R' B,L2 B2 R2 B' L D F L2 B' U' L' F,B R' U' B' R2 B R U B' D2 F2 D2,48
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U B' R F' D2 B2,D F' R D' F2 D F,R2 D R' U L' U B' L' B2 U2 R',B' D B R B' D B' L' F' L B2 R2,F' D F' R D2 B U' B L U B2 D F2,49
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F2 L' D' B' U' F,U' F' D2 F L B' L2 B' U,L2 R D2 F2 L D B' D B' L U',D L' U L2 R2 D L' R F2 R D',B R' U' B' R2 B R U B' D2 F2 D2,49
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,B2 D' U2 B2 F,L B' R2 B' L R2 F L2 B',R2 B' R' U B2 U L U L' B2 U' R',F2 R' F L' R U B2 D2 R' B2 U2,R' U F2 U2 B' F' R2 B F U R,48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D2 L2 F D L,L' U' R' D U L B' R2,U R D' B R2 F' R U' B' U2 L2 U,U2 R F2 R' B' D' B' L2 B D B U2,U2 F' L' R U2 L R' F' U2,46
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L' R D L2 F',D2 B' R' B D R B D,D' L2 D F L' R' U B U' R U L,D F D' L2 B' U2 R' B U L F L,L' B2 D2 F2 R' D2 B2 U2,45
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B' U' B F R2 B2,L' F2 R D R' D' F2 L,U2 L2 D F L' U2 L2 U' F U L2 D',U B2 L2 F2 L2 B D' B F' R F R2 U',R' D' R' F' D B U R U' B' F R2 F',52
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' R D' B',R2 F' L' U R2 F2 L D',R' U2 B2 U2 F D U2 B U2 F' R F',L' R' F' L' R U2 F2 L2 B2 D R2 B2,R B R' U' F R' U L F' L' R F' U B',50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B2 R2 U2 L D2 B',D2 U' R2 U F D' F2 D',U' R2 D2 B D B' D R' U F' R' D,F2 D L2 B U2 L' U R U' B' L' F R2 D,D' U L' U L D U' F' U' F,50
