scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U' F2 D L R',D B D L2 F2 D' L B' D',B F2 D F2 D2 F D2 B',U F U' F' L' F U F' L' U' L2,U' R U R' U F2 D' L D F2 U',44
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U R2 F' L2 D2,D B2 D L2 F2 L' D2 U' R2,F2 L U B2 L' D2 L B2 R' U' L' F2,F' U L' U' L' F2 L' U L U' L F',L2 F' D2 B D' F' D2 B' D2 F D' L2 F,51
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,B D' F R2,D L2 U' R B' U B' U' R' D',B' F U R' F R2 B F2 L2 F U F',U2 L B L' B' U' L' U',F L F2 L' F2 D2 L' D2 R F2 R' F,46
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,B' U2 F' R' F2,D2 F D L2 U' F2,B2 F2 D B2 U2 L' F' L F U2 F2,D2 F D' L' F' U' F2 U F L D',R2 D' F' U F U2 R2 D B D' R2 D U R2,47
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,B2 R D F' L' B D,R2 D' R' U F' U R' D,B F2 L F2 L' F' D B' F' L' F2,D L' U L D2 U B' U' B D L U',R' F D R U' R2 B R D' R U F',50
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,U' F2 R' B2,U B' F L' R2 B L U' F',B2 F2 D' R D' R' B' L B' L' F2,U' R B' R D2 B R2 U2 L' F U',F' U' F U' R2 D B' D' R2 U2,45
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,D' R' D' F' L2,U L D U F2 L2 F D' U,B' U2 B' F' D2 F2 U' R' U B2 U2 F',L' U' F' D' F U F' D L F,L2 F' D2 B D' F' D2 B' D2 F D' L2 F,49
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F' D' L F R2 B2,L' U' B' L' U' L' U2 L B,F2 U2 F' U L' U F2,L2 B' U2 B R2 D L2 D' L2 F' D' F R2,L2 F' D2 B D' F' D2 B' D2 F D' L2 F,48
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D2 R F' D B2 L',R B' R U B2 R B' R U',B2 D2 L B D' R2 B' L' F2 R2 B2 F',U L U' L2 F' L' R U L U' L2 R' F,F' U' F U' R2 D B' D' R2 U2,50
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,L' D2 U' R' U2 F' R,L D2 R' D2 B' F R F',U2 F D2 B2 R F D F U2 B2 L F,F U L2 F L2 F2 D' L' D L F L2 U',R2 D' F' U F U2 R2 D B D' R2 D U R2,54
