scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B U' L D2 L',D B' L R' B' F L' R2 U',U2 R' U R B F2 U2 B' R2 F U,U2 R D' U2 B2 L F' D' F D B D' B D,F R' D B F' R' U F' R U' B' F R D',53
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,B2 U' L B2 D2 L2,B2 D' F2 R' F' L' D2 R' U' L2,L F' L' R2 F U2 F' R2 F,L2 F' D U2 L' D L F D2 F' U2 F2 L2 F',R2 D' U F2 D U',45
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D B2 F' D L,B L2 F' D B' R2 B L' D' R2,F' D B2 D L2 U' L2 U B2 D2 F,U2 B D2 B' U2 B R' D' L R D' L' D' B',,40
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,L' U R2 F' L B,F2 U R2 F D B D' R U',F D U2 R D' U F' U F',D' B L B' D B2 D L' D' R' B R B2,F R' D B F' R' U F' R U' B' F R D',51
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F2 D B' R2 B' D,D' L' R D U' B' F2 U F',L' B U' R U' B' R' B' R U2 B' L,D' U' F' D2 F L D2 L' R' B' D2 B D' R U,F2 R' B F' U F2 U' B' F R,52
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,L B' F' R2 D2,B2 U2 B2 L D2 F2 D' F D',U' B' D B' L D F2 D2 B2 R' U R',D U2 B' D L' D2 L B F D2 F' R' D2 R U2,D' U F2 D U' R2,47
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F' R2 B2 U L,R' F R' D L2 D2 L2 U' B2 D',F' U' F U R U R',L' U B' U R' U L B D' L' D B' F' U R,R' B F' U F2 U' B' F R F2,47
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F' L2 U F2 R',L' U2 F' L' B D B' F U',D' L F U' R U L' D' F' D2,F U2 R U F' R U2 L2 B' D' B D' L U' L,D' U F2 D U' R2,45
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,L B' R D2 L',L2 R U' B L' R2 F' D R F',F U2 F D2 B U2 B' D2 F2 L F L',B2 F' R' D B' D B L2 B D2 R2 U2 R' B2 F2,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,56
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,F' D2 L' D2 L2 D',U2 B F2 L' F L B' F2 U,F' L R2 D F2 D' B2 R B L' D2 R,L2 U2 B D R D' R' F' U2 F' U2 F2 U2 L2 F,R2 D' U F2 D U',48
