scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R F' L' D' R2 B,R2 U' R2 F2 D2 F2,U2 B2 F' D' B R F R' B F U2,L' F' U L U2 L B D2 B' L' F' U F',,36
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' U2 B2 L,R F' U R' D2 F D',L D F' D' U L2 U' L',L2 U' F2 U B R' D2 L D L' R B' L,D F D' F2 U L2 U' L2 F D' L2 D L2,45
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L2 B' L' D' B',F L' B' L' B L2 F,D F' L2 R2 B L B' L R2 D',L2 B D' B' L2 B2 D' F' D B2 F,F2 D2 B' F' L' F L B D2 F' D' F' D,46
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U B F' L' B' L' U,L' B' L' B F2 D' L' F2 L2,B L' B F2 D B2 F2,L' F' L U' F U L F L' F' L' F L,L F2 L B R' B R2 D2 B L B L F2 U2,50
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D L R2 B L U,F L F2 D' L' F2 D2 F' D,U' F' D B U F L' U' L B' D' U,U B' D' L D' L' D2 B U' F2 U' F U F,L2 D' L2 D F' L2 U L2 U' F2 D F' D',54
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B2 U' B L' F' U2,R F2 R U R2 F2 D2,B2 L D L' B2 L F' L' F2,L' D L' F D2 F' L D' F D' L2 D F' L,,36
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R' U' L2 R2 B' L,U2 R U F2 R' U F D,F R U2 L' U' L B L B' R',F2 R2 F U' F2 U2 F U2 F R' U R' F,B2 D2 L2 U B' U B U2 L2 D F D B2,50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L' F' R2 B2 U L,R F' U2 F' U' R' D,F2 L B U L U' F' D' B' F' L' F',F' U' F' D R U' B2 R' U' L U' L' D' F2,F2 D2 B' F' L' F L B D2 F' D' F' D,52
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 R B' D2 F2 R,F D2 F2 R' D R F,D R' F' D' F D R2 U' R' F D',R' U B' D B' F' L' D2 L F D' B2 U' R,R F' L B2 F R' B' F' R2 B' L' F D2 R',52
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D2 U' L' F2 D R',R U F' R' F2 D F' D2,B2 D' B' L R' F L' F' L R B' F,F' R U2 L2 U2 R' B D2 B' L F2 L U' F2 U,B2 D2 L2 U B' U B U2 L2 D F D B2,54
