scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B D L D B2 F',R2 D' R2 B D R' B' L' U,U2 R' D2 B' L' B D2 R U F U,L' R' F' U B U B R' U2 R F U2 L U2,B' D U' L2 D' U B',47
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' L' R' B2 F' R2,D2 F2 D' F L F' U' F L' D',L2 D2 B' F' R B' F D B2 D2 L2,U' R' U L' D' R U R' D2 L' B2 L D' L,F U2 F' L' R U B2 U' L R',51
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B D' U R' B2,U' R D2 U2 F' U R2 D2 L2 R',L2 B R' B' L2 B F2 L F2 L' B',U B2 D' F D B2 D U2 B' R2 B D' U F2,L F2 R2 D' R2 F2 L2 U' L,49
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B U2 L R D,B' R2 F U2 F' L' U' R2 B,F2 L' B R' B2 R' U' B' U B2 L F2,B' F' D' F D F' D' L' F' L D B F,L D L' D2 L2 D U B D' B' U' L2 D,52
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L2 U2 B L B2,D R2 B2 R2 B D' B' L U2,L B2 R U' L2 B' L2 U R' B2 L',L' F' U2 F L2 R D2 R D R2 D L' R',,38
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,L2 D L2 R2,L' D2 B R2 B' L2 D' F L2,B2 L2 F2 D B2 D' U' R2 F2 D',F2 D R B2 L2 R U' R2 B' L' B U2 L' D',L' U' L U2 L2 D' U' B' U B D L2 U',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,B' D' R B D2 R2,F' D' R2 U2 B' U2 R2 D2,U' L' B R2 F' U2 F R2 U L,R' F R2 U R2 U2 L' B2 L U B' F' R B,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,52
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L' F2 L B2 U',L' F R D2 F L B2 F2 U',U L R' F2 L2 B' L D R D' F2 U,U2 R' B U2 R U2 R' U' B2 D B' D' B2 R2 U,L' R U B2 U' L R' F U2 F',51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D' L' D U,D2 R' U2 F D2 B R2 U2 R,D2 U L B' L2 F' L F D2 F' R2 U',B L B' D L' U' L' R' D' L2 R U' F' D' U2,R F' D2 F L R' D' B2 D L',50
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D2 B2 L' F' D R',F' D2 U' L' D2 L2 U F L',U' R2 U' F U2 B F' U B' R2 U,L D2 R D' L B R U' B' U B' L2 D R' D',L D L' D2 L2 D U B D' B' U' L2 D,54
