scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B' U2 F U2 L' F',D2 R F D' L' B F' D',L' U L' B D B' L U' L,B' D' F' R U' R' U F D R B,R2 U R D2 R' U' R D2 R,43
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L' D' U2 L' R' D2,B' U' R B' U B R2 U R,F2 D' F' L B L' B' F D F2,D' F2 U R B2 U B2 U' B2 R' F2 D,R U2 R' B D2 B' R U2 R' B D2 B',49
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D2 B' R F' U L2,D U2 R F2 L' F2 R B2 D',L' U2 B L2 D2 L D L B' U2 L,D2 L2 F L' U' L2 F' L D' B2 D' B2,D' F U' F' D F U F',46
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' U' B2 R2 D,B U' B' R U',U' B' R' D R' D' R B U2,F D' L U' R' F2 R U' L' D U' F',F' D B2 D' F D B2 D',39
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F D2 B2 U' L2 B2,D' F2 L B2 U' B' U' L F2 D',R D L' B' L U2 R B' D' U2 R' U,D' F2 U' B U2 B2 U' B2 U' B' F2 D,R2 U R D2 R' U' R D2 R,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L D2 B2 U' R2,F' D U L' D' U B U' F,R B2 U B' U' B2 R' U2,F' D2 U2 L2 F' L' F L' D2 U2 F,D' B D F D' B' D F',41
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U2 R F D2 F2 L2,L U2 L' U' R B' D B' D',D' F2 U' F' L2 F2 L' F' D F2,D' L' B2 R2 D' R' B R' B2 L B' D,D F' U2 F D' F' U2 F,45
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R' B2 U' R2 F L2,B L2 R' D' R' F L2 R2 B2,R D R D2 L' D U2 R2 F2 R F2,B2 D B' L' B F2 R B' F2 D2 L D B',R2 B' R' F2 R B R' F2 R',48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,U' R' D B' U L' F',D' B' U R2 B D2 B R2 D',R' F' R D' F2 U F D' L2 D2 F,L' F2 U' B2 R2 B F2 U B U' B D' L' B',F U' F' D' F U F' D,49
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L U' L' B R' D,D' F2 D L' B' L U2 F2 R',B' F' R2 B L' F2 L F2 L F' U F2,F' R2 D2 L2 F U F' L' B L' B' D2 R2 F,R2 D B2 U' B D B2 U B2 D' B R2 D',54
