scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B D U' L U' R2,B' L D2 B2 R' B' D R,F2 R2 F R2 D2 F D2 L D2 L',F' U L' D2 U B D' U R D' U2 L U',B' L2 B' R B L2 B' R' B2,46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F2 L2 F' D' B' U2,B U R' D R' B' D' U' B',F L' F' L2 D2 B L B' L' B' L',B' D2 B U2 B' D2 B U2,L' D R' D' L D R D',42
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 D B U' R' F',D2 F' R2 U L2 R2 D' L2 F,D2 U2 B2 U' L U B2 D2 U2,D B' L D L' B D' R2 F' D F D' R2,B2 R B L2 B' R' B L2 B,46
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D B' L D R F',B' L2 D' L2 B L B2 L',D2 B R B' R' D2 F' R F,U2 L2 F' R2 B D2 L2 B' R2 F,U' B2 U F2 U' B2 U F2,41
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D' L' U2 F D R2,L D' B2 D' U2 F U2 L',R' D R F' D F R' D2 R D,L' R2 U' F2 U' B2 D2 R' D2 B2 U2 R2,F2 R D' B2 D R' F2 R D' B2 D R',48
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D' R' B L F2 U2,D' F2 L U' L' U B' L' F2,L B2 D R' B2 R D' B D' B L',U2 F R B' F R' B F' R' U2 F',,37
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L2 U B2 L F U',B D' U R2 B' U' B,D B' L' D2 L2 D' L' B D2,R2 B' D U' F D' F2 D F D' U B R2,D' B' D F2 D' B D F2,43
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U F' L B2 L U' R',U B' R2 D2 R B' U' L2 B2,D' L U B' D2 B D2 U' L' D',B R F2 R' B2 L D' F2 D F2 D2 L' B,B' U2 B D' B' U2 B D,47
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,F' U L2 B2 L R,L D U' B F2 D' B' F L U,F2 R B R2 F R2 F R B' R',D2 F2 U' R' D' R D U B' F2 D B D,U' B2 U F2 U' B2 U F2,47
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L2 R U' R B F,B U R' B U' B2 L B' L',F2 L2 R2 U' R U L2 R F2,D' B2 U2 L U2 L2 U2 L U2 L B2 D,D L2 D' B2 U B' D' B2 U' B2 D B' L2,49
