scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,L U' B D' R,F' D' F' L B U' L' B' D F2,B D B2 U' B' L2 D' L U' L2 D' U2,R D L R D F D' F' D' L' D' R2,U' B2 D B D' B' L2 D' L2 B' U B',51
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R F' D U F D,B2 U B R2 D' B' D2 F' L' U',L' B L U' L2 U2 L' U2 L B' U' L,R' F' D B' L' F L B D' F R' D R2,U' B2 D B D B' D2 B2 D U R D' R',54
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,B2 L2 U2 L B' U' F,B F' L' D' B' L2 F2 U2 F' L',U2 L' U' R' U2 L U R,R2 B' D2 B R2 F' R' F R,U' R' U R' U' R2 B2 L' D' L B2 U,46
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 B R2 D',U' R' U F' R' B2 R2 B2 R2,B2 D' B2 D B' U' B L2 U B2,R B U' F' U2 R2 U2 F U B' R D2 R2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,49
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F2 D' F2 D2 R B,L2 U L F U' R' F2 L F,F2 R U R F D' F' R2 U' B2 F2,L D2 R B' R' B2 R B2 R' B' D2 L',,38
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L B' L B R,D2 L R B D2 R U' R2 U L',D2 L2 B' L U2 L' D2 R2 U2 R2,U' B D2 F' R2 F D U' B2 D U2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,49
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L D' B R B U',B' L2 F' U' L2 D2 U F L U',L B2 R2 D F L F' R2 B2 L',U B L' F' L F' L' F' L B' F2 U',,38
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U' B R' D2 B',R' D' U L B2 L D L2 R,B2 D U2 L D' U B' U B2,B' U' R2 D2 R2 U R2 F2 D F2 R2 B,U' R2 U' F' U L2 D' B D' B' D2 L2 R2 U,49
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F' R2 D' U2 L2 D,B2 F R' B U2 B F' U2,D' F2 L2 D' B2 L D L D U' R2,U' B' R D' B' D' B R' B2 U' B' U2,F2 D2 U' R' U R D2 F2 D2 B R B' R' D2,51
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D B' U' L B F',B2 U2 F' L2 D' B L' F U2,B' D2 L D R' B2 L' R B,R2 D' F' D2 F' D' L F D' F' L' D F2 R2,U' B2 D B D B' D2 B2 D U R D' R',51
