scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,U' R' B' D' F',U2 L' U2 F2 U' L' U F2,U' B' R' U B2 U2 B2 U' R B U,F2 D' B F2 U' L' U L B' F2 D F2,R' U L2 U' R U L2 U',44
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' U R' D' F' L,U L2 U L U2 L U',R B' F' L' B' R' B2 L R F R',L B' L B L2 B2 F' U B' U' B2 F L B,B2 D F2 D' B2 D F2 D',46
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U R' U L' B D2,B U2 L D' U2 B R2 D B',U2 L2 B F' L2 R' F' U' F R B' F,B L2 B' L2 U' L2 B2 L B2 U B L B',R D' R D' R U L' R' F2 L D2 R2 U',53
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D' B2 U' L' R2 F,L2 B' L2 D2 U R' D2 U' L,B2 L D U R2 F' R U' R D' L' B2,U' R' U2 F U' F' R' D' F2 D R2,R' F' L2 F R F' L2 F,46
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B2 U' B U2 L2 F' R,R2 B2 L F D' B' F' L' R2,U2 B' D' F2 U F2 D' L2 D2 B U2,U L2 R' B' R U2 R' U' B U R U2 L2 U',F R2 F L' F' R2 F L F2,50
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,R' B2 L' R' F D',B2 U' L2 U F' U' B' F,R D' R' U2 L' B D' B' L D2 L' D' U2,F U2 R' D' R' D R2 D' R' D U2 F',,39
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,F D L B' U2,B D' F' U' F R' B D,F' L2 D L D' L B U' B2 U B F,R' U R' F2 L' R U' L F2 U F2 U2 R,B2 D F2 D' B2 D F2 D',46
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' L' D' F' U2 L2,U' L' B L' D' U R2 D B',R2 U2 B F2 D B' D' F2 U2 R2,B U L' R' F' U2 F U2 R U2 L U' B',R' U L2 U' R U L2 U',46
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B U' L D' F L',D' R' U2 B D B' U L' U,R' D R' B R' U L2 D' R' B2 F U2,R' B' F R2 F L' B2 R2 B2 L B F2 U2 R,B2 D F2 D' B2 D F2 D',49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B U R2 B L D',F' L2 F' R' D F2 R B' U2,U' B' L R' U' B2 U' B2 L' R U,D B' U2 F' D B2 R2 B2 D F U2 B D,F2 L2 B' U2 B F R' F' L F' L F' R,52
