scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,U2 B2 U L' B2 R2 F',D F U F' L' D2 R2 D B2,R2 D' L' B' D B' D B2 L R D R,L U2 L B' U F U2 R2 U B F' L2,U2 B L2 D' B' D F' D' F L2 U' F U' F',54
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,L U F L2 D2 F,R' B U L' U2 L R' B U' B2,R U2 B R' U' R' U2 R2 B' U2 R,U' B' F U R' U R U2 B F' U,L' F' L' F2 U2 L' B2 R' B' L F' L2 B',51
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F L B2 L R2 U',B2 F U' B2 F' D' R' D,F' U R B2 F U B2 U' B' F' R' F,U F L F2 L F2 L2 F' L U L' U2,U2 B L2 D' B' D F' D' F L2 U' F U' F',52
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' D B' F U L',B' F2 U B2 R U' F2 R',U' R U2 B2 U2 B U B U2 R' U,U2 R F L' R' B D2 B' L R F' R' U2,U B' R U F D2 B' D' B R' D' F' U2 B,52
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,L2 F' R2 B' D',F2 D2 B2 R2 D F2 U2 B L2,L2 R D B L2 B F2 R2 U F2 R,F' L' B2 D B R2 B D B' R2 B D' L F,U2 L F U B' U2 R U F' U B L' U,52
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,B2 D' F' L' B U',L' D2 U2 R2 F D U2 B D L',F' U B' U2 F U B U',U2 F L' B D R D R' B' L' D' L2 F' U2,B' U2 F D R B' D B D2 F' U' R' B U',52
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B' U R' D2 L,U2 R U' F U' R U' F' U,F2 R' U B L' U L R B' U' F2 R2,B' R' D B' F' R B R' F D' R B,U2 L F U B' U2 R U F' U B L' U,51
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,D2 F' D' R U B',F' L' B2 D B L' D L2 F,U L' R' U2 F D' F' U2 L R U',B F R' D' R D B2 R F U' B U F2,L' F' L' F2 U2 L' B2 R' B' L F' L2 B',52
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,D R U2 L2 F' L,B L' U R2 B U' L R2 B',U R D' U2 B' U R2 B D R',D' L F' U' R F U F' R' U F U2 L' D,U B' R U F D2 B' D' B R' D' F' U2 B,53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,B' L2 U B L' D U,D' R2 U' F D U' R U2 B2,R U2 R B R' B U2 B U2 B R' U2,L U R U' L B' L2 U' B U L2 B L2 R',B L F' D' F L2 B' U B' U' B2 L B',55
