scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F' L R2 B' L',B2 U B D2 F2 D2 U' B F2,D F' U B' U' F R2 U2 R B D' U2,D' F U2 F2 U2 F D F' U2 F2 U2 F',,38
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,F2 L' F' D' U2 R2,D2 B' D2 L F2 U L' B,F R2 D' F L2 F' L2 D R2 F',D' R2 D' L' D R2 D' L D2,D2 R2 F2 L2 B D B' L2 F U' F U R2 D2,47
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L B U' L' B' R,B2 L U L' F' U' F U' B2,D' F2 L F2 D F U F U2 F U F',F D' U' B' L R2 F R2 F' L' B D U F',D2 F R F' R2 B R' F R B' F' R2 D2,54
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F2 U L R2,L' R D' L R B R2 B',L2 F L R2 D R D' R D' L' D L2,R2 F R' F' R2 U R U R2 B' R' B R2 U',D2 F R F' R2 B R' F R B' F' R2 D2,51
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F D2 L' D' B2,B' L U2 F' L' B,B' F L B2 R2 D R2 B2 L' B F',R' D B' U' R U' R' U2 B D' R,B' U' B U2 F' L2 F L2 U' B L2 B' L2,46
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B F D' U2 B' F',B L F' L' R B R' U2 B2,U F D' L' D' B' D2 F2 R2 F R2 U',F' D R' D' B F' U B' R' F2 R D R' D',D2 R2 F2 L2 B D B' L2 F U' F U R2 D2,55
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 R B L2 U,B D2 U F2 R' B2 D2 L' B,F' D' U L2 D2 U' B2 R B2 D' F',R U2 B' R B U2 F' U2 R' U2 R F R2,B2 U F U' B2 L2 B2 R U' R' U B2 L2 F',52
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F R D' B F R2,D2 L F L' U2 F2 D2 B2 F2,R2 D2 F' D L D' L2 F D2 R2,R' B F U2 F' U F U' R U' R' U' B' F' R,,40
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L D2 U' R2,B' U R U' B2 U' R' U' B,D' U2 F' U' L U L' U F D U2,U F R' D' B L' B' D R F2 R U2 R' U' F,,39
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,U2 F L2 R' B,F2 D' L' D' B U' F2 D2 U' B',F2 U2 F2 D B' U R2 B D' U',L F' D' B U' B2 D B2 U B' R2 D R2 F L',U' R D U B2 U2 B' U B U B2 D' R',53
