scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' D2 B R2 F',D B2 D' L U B' L',U2 B F2 D' U R' B2 D B' U' F2 U2,B' L U B U L' U' L' B' L' B' U B2,B2 D L' B L' B' L2 D' B D L' D' B,50
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,R F' U F2 L' F' L,B2 D B2 L U2 L2 D' L,R' F D L2 U' F U L2 D' F' R,B D2 L F' L' F U R' F2 R D2 U2 B',L' U' B L' U2 L B' U L R2 D F2 D' R2,53
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,U B2 F U2 R',D U' L2 B L U B2 D',U R2 F2 U R' D2 R U' F2 R2 U',B2 D2 R2 D' U2 F D R F R D2 L2 B',B' L' B' L B D2 L D2 B R' B R B',50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R B2 D L2 R F',L B' L2 D L D' B,U' F U' B U L2 U L' B2 L' F' U,U' B2 U B L U' B' U2 F' L2 F U' L' B',R2 D2 R' D2 B2 U' L' U B2 D' R D R2,52
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,F U B L R2 F2,F U2 L B L' U2 B2 F',B' R B F2 L B L' F2 R' B,R' F' U2 L2 U L2 F U' F' L2 U F R,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,50
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,R F2 D R,L2 D B' D' L2 U' B U,F L2 F2 L D' L D L' F2 L F',U L' F' U' F' L' F2 L R' D' F D R,,36
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L R' B' D2 L F',U B' D' R2 F' U R2 D,B' D2 B2 D F R' B2 F D F2 D B,F' D' U F D' U L D' U B D' U R F,B' L' B' L B D2 L D2 B R' B R B',53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B2 F R D L2 F' U,L F2 D' B2 D' F2 L' B,B' U2 L U L2 F U F' U B,B2 R B L2 R' U' R' U L2 R B,R2 D F2 D' L' R2 U' B L' U2 L B' U L,50
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,U R B' F' L' D F',D B' D2 B' D R' B R,U' B' R F2 D' R' B2 R D F2 R' U,R U F2 D' L D U2 R' D2 B2 D2 U R2,R2 D F2 D' L' R2 U' B L' U2 L B' U L,54
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,U2 F' L2 D R2 U2,B' L R' B' U' R B L',F2 D B F2 D R' F' R B' D',R' D U' B2 U' B' D2 U2 F D R',R B R2 U' B2 D2 L' B2 U' F U2 B' D' R2 D',50
