scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U2 B' F' R D2,D2 U R U R D2 U2,R2 U2 R2 B L2 D2 L2 B,B' L2 U' L' U R U B' U' R' B L',B2 L' B' L U' B2 R' F R' D' F' R2 B,45
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,R U2 F' R B2 R2,L2 B2 U' B U2 B D2 F' D2 U',L' R2 F' R2 D L F2 U F2 L' D' L,B2 F' L2 D2 R' B R D2 L2 F L B' U' B',L' D U' F U L' F' D' U L B U',54
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,U' R2 U2 B' D',U2 B D' R' D U B',D2 U L2 R' B2 R' U2 F' R' D B' L R',R2 B' F' L B F R2 B2 U B2,D L' F' D2 U2 R2 D2 U2 L2 F L D',47
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,R2 D2 F' R D2,B D L2 U' F2 D' L' U L',D2 R2 B' D B' D B L B2 L F' L2,L2 B' L2 F' L2 R' B' R B L2 F' R F2,U L' D' U B2 D U' L' U',48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,B R2 U' F D F R2,B D' R2 B2 U' R D U' B,D L B D U B' U' F' R' D' F,B' F' L' B F R2 F2 D' F2 R2,B' U B2 R2 F2 L2 F2 R2 U' B,47
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,B2 D U2 R D' F,U B' D2 L R F L' D2 U2 B,R D' R' D' B' D' F2 U2 F2 D2 B',L2 U2 B U2 B' L2 B2 L2 U L2 R B R' B2,L U2 L' R' U' F2 L2 F2 U' R,51
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,L U F' D2,D B' U2 R' U2 B' R2 U R2,L B' L' F L F' D' B' D' B' D2 B,F R' F' L2 R2 B R B' L2 R2,B U B F' L2 B' F U B',44
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,R' B2 R2 B D',B' D' B U2 B2 R2 B D,B2 L2 U L U' R B D2 R' U L,U' F2 L2 D' F2 U' B' L B' R2 B' L' B',F L F2 L' B F' D F2 D' B',47
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,D2 L2 R2 B' D2 L2 D,D2 L' B2 L' U2 F R2 U2 L2,L B U B2 D L' D' L' R2 D' R2 B',D' R2 D' F' R F2 D B' D L' B D F' D',R' U2 R B F' U' L2 U B' F,52
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 L' F D F' U2,B D B' U B D' B2 U',U2 B' R D F L B F' L R' U' L' U2,F' D' B' L2 D B2 F R' U R B L2 U' B2,B2 L' B' L U' B2 R' F R' D' F' R2 B,54
