scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,B D' F2 L2 U',B' U2 F2 D2 R U2 B D' L,R2 F L2 B L U B' U' F' D B' R2,L' U' L2 B D' B2 D B2 L2 U L B',F' L2 B L B' L2 F L' B L B',49
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,B2 L' F2 U' L2 F,B U B' U B' U2 B U2 B R2,L2 U2 R2 F' D R2 U2 L2 B',L U' B' U2 B U2 L U L2,B R2 U2 R2 D' B D B' R2 U2 L R2 B' L',48
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,L' U2 F2 D L F,D' L' B D2 R2 B D2 L B,B U B' U' B L B L2 R D2 L R',R F2 L' F L2 R' U' L2 R F' L F2 R',L2 B2 D2 F' R F' R' F2 D2 B' L' B' L2,53
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F2 L' B L2 U2,B' L' D2 L D' F' R U' B2 F,R2 D R' D' L' B L R2 F2 U' F2 R,F D2 B2 R B R' U R' U' R B D2 F',R2 F' U' B U B2 R2 F D F' R2 B F R2,54
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,D F U2 R2 B',R' B2 U2 L' F2 D L U2 B2,F2 U2 F2 D' F2 R B R' F2 D,R B2 L' B D' B' D B2 R' B L B',F' L2 B L B' L2 F L' B L B',47
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,L2 R F U' B',U B' L2 B D R' F D R2 F,D' R U2 R' U' B' U' R' B D,U2 F2 D F' D2 B D' B' D2 F' U2,U' B' U B' R2 F D' F' R2 B2,46
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,L' D L F' L2 F,F2 U L2 F2 D' B' R2 B2 R' D',D' R B R' D,L' U2 F' L F U L U L U2 L U2 L',F' L2 B L B' L2 F L' B L B',45
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,R U' B2 L' D F,F' R B' R' B U2 F R2,R U' L' U L' B' R B D B' L2 R2,F2 D2 R' U' B' D' U2 R D U' R B D2 F2,U' B L' B' U' L U B L B2 U B,52
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,B' D' U2 R,D R' F' R2 B' U2 F D,L' U2 R' F2 L2 R U2 L2,R' F R2 U R2 F D' F L2 D F R U',R2 F' U' B U B2 R2 F D F' R2 B F R2,47
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 L' R' D2 B',B' R2 D B F' U R' F,R B F L' F' L' D' L B' D B' R',F' U' L2 U' F R2 F D' B' D F' R2 U2,R2 F' U' B U B2 R2 F D F' R2 B F R2,52
