scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 L2 R' U2,D U L D' U' R B2 R' B',U2 F R U' L' U' R B2 L R2 F' U2,D' R' B2 R2 U' B L2 B' U R2 B2 R D,D L B2 U2 F2 R U2 B2 D,47
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B' R2 B F L,B2 U2 B2 U' B U' B' U' B',F2 U B2 R' B2 D B2 R B2 U' F2,B' U L' F2 U L' U2 F' U F L2 F2 U' B,F L B D2 F' D' F' D F2 D2 B' F' L',52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,U F D B D' B',U' L B2 F' L' B' U' B' F' L',D2 F' R D2 F' D2 R' F D2,D' R2 B' U' B D' B' D U B R2 D,,37
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R B' L2 F2 D',L U L' R2 F D' F' R2,F' L2 B2 U F D2 F' U' B2 D2 L2,B' D F D' B2 F' U2 L' U' F U L U2 B',R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,52
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' F U' B R',L2 B2 R B' R' U F' U' B2 L2,F L' R2 D B2 L' B2 D' R' U' L R',D R U F' U' F L2 F' R' F L2 D' F',D2 F L R' D2 L' R F D2,49
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R B U F' L B2,B D' L R D' R D2 B L',F U2 R' D' L R' B L' R2 F' U2 F',B F2 L2 F' U' F L F2 U R U' L R' B',,41
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R D2 B' U' L R2,F R2 D R' B2 R D' F' R2,U R2 D R2 D' B' L' B D U F2 U2,R' D' R U2 R' D R U2,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,49
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B L' U' R2 F D2,L2 U F' U R2 D2 R2 U2,B' L' B2 L D' L D B2 R2 F' L R2 B,D2 F' D' R2 B2 D' R2 F' L2 F' U' L2 D2 F',U L D F' D' L' U' R' F R,51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D2 B2 D' U2 L' B2,D' B' U' R' D L B U B',F2 R B' U F L F' U' B R' F2,B F' R' F2 L' F2 L F D2 L D2 L' F R B',D2 F L R' D2 L' R F D2,50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,L B U F D,B2 U2 L2 D' L B' D L U2,L R' D R U' F2 L2 F2 U L' F',B F D R D' F' D R' F2 R F D R' D2 B',U L D F' D' L' U' R' F R,50
