scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,F L2 D B' L' U2,D2 L' D2 B U' F2 U B',F' D L B' L2 B L' D2 L2 D F,D' F D U2 R B' F' R2 B R F R2 U2 F2,,39
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,L R F D' B,L2 D2 B L D B' D L,F' L' D F' U' F R2 D' R' U L,U2 R' U' L' R2 U R U' L R U R U2,F R F R' F2 R2 B F U F' U' B' R2,50
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,R2 F2 U' F R D',D U B' D U' B' D L' D,B2 L' U' B F2 D2 B' L' F2 L U B2,R2 F2 L F R B' D B R' F' L' F2 R2,D' L2 F L' F' L2 D L D2 F' D F D2 L',54
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,R' F2 D2 F L,U L' B2 D' B2 L R U',D' L U L2 D L B2 L2 B2 U' L' F2,F R' B D B' R B D' B R F' R' B2,L D2 F' D' F D2 L' D' L2 F L F' L2 D,52
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,U2 B' D' R' B',D' L' D U2 R' F U2,F U' F' R D R' F2 R F' U F' D',F' L2 R' F' R' F L2 R U' R U F,F R F R' F2 R2 B F U F' U' B' R2,49
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,U' R' F' L2 B F,F' R' U2 B' U' R' B R2 F,D' F U2 B' D2 U2 L2 F' L2 D',R2 B2 L B U2 B' L' B' D2 F2 D2 B' R2,,38
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,B' L D U' B2,D' L D' L B' L D2,U' R' D U F U' F2 U L F L' D',R' B2 D2 B F' D' R2 D' F' R F2 R' B R2,D F D' F2 U L2 U' L2 F D' L2 D L2,51
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,B F L D' L2 U2 F,B' D B L D' B' L2 D L2,F D' F' D2 F2 L F D' F L' D',L' B F' U' F U F R F' U' R' B' L,F U' F U F2 L2 B D B' L2,50
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,R2 D B' R2 F' L',B2 L2 B D2 L B2 D L' B L2,U2 B U2 L' F' U2 B' U2 L' F L,U L D2 B' D F' D' B D2 L' U' F R F',F2 U R U' B2 D L' D L D2 B2 F2,53
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,U B2 F L2 U' L,R' B2 L' R B' D B L B2,L' B' L B D2 L' R B D2 B' R' D2,R F L2 R' D R' D' F' R' F L2 R2 F' R',U' L' U L' B2 D' B2 L' D' L D L2,53
