scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' D' F' L2 R U2 B',B U2 L2 B L2 U' R' U' B',L D2 R F' D2 L2 D2 F' R' D2 L2,B2 D' U' B R B' R' D U B2,R F' D2 F R' U2 R F' D2 F R' U2,49
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 D B R' F',U2 B F D2 B2 D' F' U2,F2 R U' B2 U' L' D2 L U2 R2 F2,D R' B D B' F2 D' B F2 D' B' R D',R' U' R U' B U R B' R' U' B' U2,49
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F U L2 U2 B',B R2 D' R D B' U2 B2 U2 R2,B F U' R2 F' L' U L B L B2,L2 B L' F2 L B' L' F2 L',R F' D2 F R' U2 R F' D2 F R' U2,47
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L2 F' U2 L' U B' L,B U R U' F2 D' B' D F2,B F R2 U2 R' U' R U2 R2 B' F',U B2 R' F2 D2 L' F2 L B2 L' U,R' U' R U' B U R B' R' U' B' U2,50
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,R' F U' R B2,D2 R' D' B' D' B R,F2 R' D R2 F2 U2 B2 L' B L2 B2 U2,U2 L B' U R' U R U2 B2 L' B' U2,B' R' U2 R B F2 L D' B L2 B' D L' F2,50
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F' L2 U F2 L U,F' D B' L2 B2 L2 U2 F U2,L' B2 L B2 L2 D F L2 F' D' L',L F2 D F D' B D' B' R2 D' L D R2 F,R' F' U' F U' R2 D B' D' R2 U2 R,52
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' R' B D,R' B U' R' D B2 D' U B,F' L D' B' D2 L B L' D2 L' F,F' R' B' L B R B' D2 L' D2 B F,R F' D2 F R' U2 R F' D2 F R' U2,48
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,U B F2 L' U2 L2,L D' U L2 U2 F' U L F2,B F' D' F' R2 D' F2 L2 U' L2 B',B2 D' B2 D' F' R2 B D' L D L' R2 D F,L' U2 R B L B' L' R' U2 L2 U L' U',53
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L' R2 D B' F' L,B L R2 B2 L' B' R2 F2 D F2,U2 B U2 R' U L U L U2 R,U2 B D' F2 D B D' B' F2 D B' U2,U R' F L F' D2 B R' B R B2 D2 R U',52
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,D' L' F U' B' D2 L',R B D2 R D' R B' R' D',B' F' D B D B' D2 B F,B' U F U B2 F D' F L D L D B' F U2,B U L' B L U2 R2 F R F' R U B',53
