scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F L' R' D B' L2,R' U2 B2 F D B2 U R,D R2 F D B F' L' U' B F D2 U,D2 R B' R2 B2 F' L' B' U2 F2 R' F' D2,D F D' F2 D2 B F R F' R' B' D2 F,52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L2 F2 D L R',D2 B R D' B' F' D' F' L,D R D2 U2 L' U' F D U' R',B2 D U' F' D' U B U F' D F U' B,D' U B2 U R' U' B2 D2 L' D' L U',49
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' L' F U' B U2,R' F2 U B' F' R' B U R,L' D' R' F U B2 F' R D L' D',B2 F L U L B D2 L' B' D U' F' D' B2,U' F D R F' R' D' F' D U F' D' F,53
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F D' B2 D',U B2 U R2 D F2 R2,U2 F U2 R2 U2 F U2 R2,U' R D' F' D' U F U' R' F' D F D U,U' F D R F' R' D' F' D U F' D' F,46
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U F2 R2 B D',F' U2 B' F D' R F2 R B,D2 U B L2 F2 D R2 F2 L2 D L D,D F' D R U' R D' U2 F2 U' F' D',B' U' B U2 F' L2 F L2 U' B L2 B' L2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 R U' R B',F2 U' R' U' F2 R' F R',L F' U R D U' B' D' F L',D' R' D B U2 F' R2 B L2 B2 F D R D,F2 R U2 F2 R B R B D2 L2 B L' B R,51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,D' R' B' L2 R2,D2 L B' U L F L U' L B,D B' L U B2 R U' L' D B L B',B' L' B D U B U B D R U2 L2 F D2 L,B' U' B U2 F' L2 F L2 U' B L2 B' L2,55
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D' L2 F2 D' U2 L',F' R' U R B' F2 R' B F',D' U2 B2 U' L' D U' F D F2 D',L2 D2 R2 D' F' R B2 U' B' R B' R2 F D' L2,L2 B' L2 U' F2 U' B2 D R2 F' D' B2 U2 B,55
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R' F' D' L D',U' L R F2 L2 R U' L F',D2 U L' F U' L2 R2 D B F2 R U,D' F D' F2 U2 R U F' U' L B2 L' U2 F2,D' L B' L B2 D' U' R U B' D L' D F L',55
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U' B D' L' D',R F2 D2 B' D L' D U' R',L F' L' D2 R' D' R2 U2 R' F' D2 L' D,R' B' D' F' R F' R' B2 R' U' R2 B' F2 R D,B' U' B U2 F' L2 F L2 U' B L2 B' L2,55
