scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' F2 D' F2 D,U2 B R B' U' R B' R2 U',B2 U F R U B' U' R2 B' F',B' L2 B2 F' R D2 R' D2 B' D2 F L',R2 U2 R' D' R U2 R' D R',45
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F' R D' U,R' D U' B L U B' L' D',B L B L' F' R2 F' U' B' F2 D2,D' B2 U' R' U R B2 U' B' U' B D U2,L U2 L D2 L' U2 L D2 L2,46
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,F L R D L2 F D,U2 F' R2 U' R2 U2 L F U,L2 B F U2 F R B' F D' F L2,D' B D L' U2 B2 U B' U' B' U2 L B',R B2 R F R' B2 R F' R2,49
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L F R B D2 L',U2 B2 F' L U B' L2 F,B D F' D B' D2 R' D F2 L2 F',B2 F2 U' L B2 L' B2 U F2 R B2 R',U2 F' U B2 U' F U B2 U,46
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,B' D F2 L' D2 R2,U B U R' F R2 D F' U2,F2 R2 F D' B2 F L' B2 L',B' U B' D2 B U' B' D2 B2,D L' B2 L D' L' D B2 D' L,43
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,F2 R U B D F2,U B2 R' D' B R D U' B2,D R F D2 L2 F' D R' F L' F',B2 D2 R D' R' F' R F D' B2,L U2 L D2 L' U2 L D2 L2,45
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 R' B2 L2 U F,R' B R2 B2 D2 R D2,R' U' B D U F2 L F2 D' R,F2 D' B R2 B' R2 U' B D' U R2 D2 F2,U' L' D L U L' D' L,44
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R F2 D2 B' L U2,D' U R' B2 D R' B R2 U' B2,D2 L2 B F U B2 U2 B L' F' D2,L U L' D' R B2 R' D L U L',B2 R U' F2 U R' B2 R U' F2 U R',50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R2 U2 B U L2 U2,F' L B2 U' L' U' B U F,L2 B2 F' L' D' L B D' F2 U2 F',D' F' R B2 R' B U' B2 U B' F D,R U' F2 U R' B2 R U' F2 U R' B2,50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D L' F L' R2 D,B' U B' U R2 U2 L B' L',F' R' B2 R B' R2 F' U B' F2 D2,R B2 R' B' D' B U2 B D B' U2 B2,U' L' D L U L' D' L,46
