scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L2 F2 U B L,D2 F L' B2 F' D' B2 D',F D' U2 F' L' D2 U2 R B D' F',L2 R2 U B' U' L' R2 F2 D' F2 L' D F D',B D U' L' B L D' U B' R',48
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R U' B D' L' F R',F' R' B U2 B' F R2,F2 L2 B L' U L B D2 L2 F2 R2 U2,R' U R D2 R' U' R D2,D' R D B U F R' F' U' B',44
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R F2 D B' R2 U,R2 B2 L2 B' R' F2 D' B L2,R2 U' B' U B2 R2 U R U2 B' U B',D2 R D' L2 F2 D' F2 D L F2 L R',F' L2 R2 B R B' L2 R2 F R',49
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,L B U2 L' U',R D2 B F D' L' D' F' R2,B2 R U' B' D' B' U B' L2 U' L2,B2 U B2 F L' B2 R2 B L F' U L' B L,D' R' D L R B2 R2 B' R B R B2 L',52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,B2 U F L2 D',L D' R F2 D U2 L F2 L2,B2 D' F' L' R2 U' F' L D F2,D' B F' D B' D2 U L2 B D B' U' F' D2,D F' L2 R2 B U' B' L2 R2 F,48
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B' U2 B F2 D L2,L F' L2 R2 D' B L R',B' U R U' F' R' B2 U R2 U' B' F,R2 F' D B L' F U2 F' L B' D' F R2,F' L2 R2 B U B' L2 R2 F D',49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L D2 R2 B2 U,U L R' U L' R' B' U',D B2 D2 R D U' B' U2 R2 U',B F' R' B2 U2 L2 U2 B R D2 R D2 R' F,D F' L2 R2 B U' B' L2 R2 F,47
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,F2 U2 L2 U,D R D' B' R F' R U2 F,F2 U' L2 R' D' U2 F2 U' R' B2 F2 D,F' D' B2 L2 D2 B D' B' D' L2 B2 D F,B D2 B2 D' B D B D2 F' R' B' R F,51
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,U' R B' D L',B' D' B' F L B' L F' D',L' U F D2 U' R2 D' F2 R' F' L,B L' F' L R2 F2 R' D F' D' F2 R' B' D2 F,F' L2 R2 B U B' L2 R2 F D',50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R U2 L F U B D,D B F L2 F' R' B R D,B R D' L2 F' L2 B2 R D2 B2 R D,U' F2 R D2 R2 D2 R B R B' D2 R D2 F2 U,D F' L2 R2 B U' B' L2 R2 F,53
