scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D' R2 F' L' F L2,U F' R' F' U' R' D R2,U' R2 D U L F2 D2 F2 L' D',U' B L' U' B2 L' U B L U' B U2,B' R D2 U L F2 L' D2 U' R' B U' R2 U,50
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U L' F R2 B2,R B2 U B R' B' F2 U' B2,D U R' U R2 F D' U F2 U' F U2,F' L2 R' U' F' U F L' U R U' L' F,U B U' L2 D F' D' L2 U2 B' U2,50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,U F R B2 D F2,L' F2 U R2 F2 L D2 R2,U R' U R' F' R2 U2 B L B',F' L U' B' U B L2 U' B U' B' U2 L F,R F2 R' U B2 U' R F2 R' U B2 U',50
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,L' R2 B U L R',U2 F2 D2 U2 L D L' R D2,L2 B' F' U' R B U R F L2 R2,B L2 B2 R B' R' U L2 U' B2 L' U2 L' U',R U' B' R2 B R B2 D B D' B R U,53
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L2 U' R2 F L',F' L2 B L2 D2 F2 D' R D',D R' D' B2 R2 D' U2 F2 L2 D2 U' F' U',F' L B L' B2 L2 U L2 F2 L B L' B F',U' B' D' R D B U' B L' B L B2 U2,54
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 R2 B' F' R U,L U R U' B' D' L' R',R D U' L2 R' B L2 R D' U R',D2 F2 R2 F R F' R F2 D2 B' D' B D,F R' D B F' R' U F' R U' B' F R D',52
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R B' L D' L F,D2 B' D2 F' R' D2 F R B,R' D U' L D2 L' D' U' F U2 R,D2 R D R U L2 B R B' L2 D U' L B2 L',D' U' F' U2 L2 D' B' D L2 U' F D,53
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,R' B U2,B' R2 B2 R' B' R' D' R D,L' U2 R' B D' F D B' F' R U2 L,R' F' L' B' F2 R F' R' B F' L' U L2 F R,B2 L' D' B D' B' D2 L2 U' F' U L' B2,52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D B L U F D',B L B2 L' D2 B D2,L2 R U B U' B' F D' L' F' D L2,R' F' L2 F R' D' R' F D F2 U L2 R F D,B' R D2 U L F2 L' D2 U' R' B U' R2 U,54
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F D' R' B' U B' U2,L B2 F D F' L' R D',D2 L' U R' B R U' B' L' B L2 D2,F' R' F2 D' F' R F L R B' D B R' B' L' F',,43
