scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' R' L2 F' B2 R2 D' L2 B2 U2 D2 F2 U2 F2 D R' D U2 R2 D' U2,x2,U B2 R' D2 U2 B,D2 B R B R2 D' U2 F D',D' L2 R U2 R' F' L2 F L2 D F',B' L U2 L2 F L2 U2 L2 F' L B,R2 D B2 U' B D B2 U B2 D' B R2 D',50
D2 F2 D2 L2 F2 U2 B' F D F R2 D' B2 U2 B' D U' F2 D' R L' U,x2,U2 B U2 B U2,R2 B' U' R U B' L' B2 R2 F',B L B2 F L' D2 B U R' B2 D2 B U',U' B R U' B' D' B D U R' B' U,D2 R2 D L D' R2 D L' D,49
R' U L U F L' U' D R' U2 L' F' U' L U' L' F' U' R2 D2 U2 R2 D2 F' D2,x2,F R2 D L U2 L2,R' B2 R B U' B R U2 F',B2 L' R U' B' U' B U2 R' F2 L B2,F L F' R2 F L' F' R2,U L' F2 L U' L' U F2 U' L,45
B L2 B' R2 U2 L' F R' D' R2 U' L U2 R D F2 L' U' B' L',x2,F R B L2 D,B2 L2 U' F U L' B2,L' F2 L B D L2 F' L2 D' B',B R2 B' D' R2 U' B D B2 U R2,R D' B2 D R' F2 R D' B2 D R' F2,45
B2 U2 B2 D F U' F' D' U2 L' B2 R' L2 U R D2 U F R B2 D2 R,x2,D2 B2 L B L D',L B2 L2 B' U2 B' F' L',F' U2 R' F' R D U2 F' D' L,B2 D' U B2 L U' L' U B2 D U' B2,R' F L F' R F L' F',44
B' R' L' U2 D' L' D' U2 B R2 L' U2 L R2 U' R2 L2 U2 D' L2 D B F2 L2 D2,x2,F' D' B' U R' B,R' B2 D2 U' L2 D' F2 R',B2 D2 F2 U' F2 R2 F' R' U F D2 B2,D2 F U' B2 R2 B U' B U R2 U R2 F' D2,L2 U2 L' D2 L U2 L' D2 L',49
L U D2 R' L' F2 R2 L2 U R B2 L' D2 U L2 U L2 R' F2 L B,x2,B L F2 R' F' D,F D' B L D F2 U' L' F,F D' L' B L' D L2 D' L2 B' D F',B2 D' L B' L' B2 L B' L' B' D B2,U2 L2 U R2 U' L2 U R2 U,48
R B R' D2 B L D2 L2 B F D' F U B F2 U2 B F2 L' D2 U L2 R2 U2 F,x2,F2 L R2 U' B U,L2 R B' R' F U2 B,B F' L F2 U F U B F' L2 B2 U',U2 B2 F' L' D L D' B L B L' B F U2,D2 R2 D L D' R2 D L' D,48
R' F L2 R F2 B2 D F D' L D' B2 L' D R' U B2 D R' L U R',x2,U2 F D2 U R2,L2 D' B' L' U B' D F',B' R U L R' F' L' B,U R' B2 D' L B' L2 B L' D L2 B2 R U',L D2 L U2 L' D2 L U2 L2,44
B' R2 F L U D F2 B L2 B F' U B R U2 F2 L' F B R2 B U' F2 D',x2,D2 R2 D L D2 B,L' U L B2 L' B2 F,B L' F' L F L2 F L' B' F2,D2 U2 F' L R U2 L U' R U' L2 B R2 F U2,,38
