scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,B2 L' F R,R D R2 B R2 F2 R2 B' R,F2 U B D' L2 D' R' B' R D2 B' U',D2 R2 U2 F' R F U2 F2 R F R' F R2 D2,F L' F' D' B' U' L U B D,49
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,L' D' L2 B' U2,U L' B U' L' D' L2 D F,L2 D' B2 F D' F L F2 D B2 L2,L2 D R2 D' R' B2 R B2 D L2 R D R D',D' U' L2 U2 L U' L' U' L2 D F U F',52
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,B D2 B' R2 D B',U' R D F L' F' L U' R' U2,R F U2 B F' L2 B' R U' F U R2,R U R2 F L D' L D' R' B' L2 R2 U F,L' D' B F' R D R' B' F D,52
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R2 D B R' F D,U' R D2 R2 D' R U F2,R B' F' R B F L' R' B L,D R2 U2 F' R B L2 B2 D B R' F R2 D',D' U' L2 U2 L U' L' U' L2 D F U F',51
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,B' U' L2 R U2 B,L' F L2 D F2 L' D' F',D L2 U B2 D' B R B D' U' L' B' L',D2 U' B L F' L' B' D' U B L B' D',D' U' L2 U2 L U' L' U' L2 D F U F',53
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 B2 R D' L,F2 D B' D B D F D2,F' L2 F D' U2 B' U' B2 D U',R' F' L2 D F' D' F D F L' R F2 L' F,F L' F' D' B' U' L U B D,47
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,B' F' R U' R2 B,L D F2 L' D R F R' D2,R2 D2 B' U R' D R U' B U F2 D U',U F2 U' L R' D R F' R' F D2 L' R,F L' F' D' B' U' L U B D,51
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,U' R2 B L U L',R' D' R F L' F' L F2,U' R U' R' U2 B D F D' R U' R' B',U' F2 U' F2 D2 R' U L2 U L' B2 D' L',L F L' F2 L2 B F D F' D' B' L2 F,53
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,R2 B2 F L' D' U2 B',L2 D' L2 R2 B U' R2 B' D,D L2 D2 F D L2 U2 B U2 L F' L' D',F' R' U L2 F' R' B R F D L2 U' R,D' U' L2 U2 L U' L' U' L2 D F U F',55
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,R2 F L' B' D L,U' F R D2 R2 D2 F2 R U,R' B' F U2 B L F' L2 R,L2 F2 U' L2 D' L2 F' D F L2 D U F2 L2,D' U' L2 U2 L U' L' U' L2 D F U F',51
