scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R' D F L' R2 D,L' U2 B U2 L D B2 D',L R' U' L' D2 B' U F U' B D2 R,U2 R' U' L' U L' B' L B L R U2,D2 R D' L R' D' R' D L' D' R2 D' R',51
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,R2 B F2 U L' R',B U' L' R2 U L U2 R2 U B,D' R2 U' R D' F2 D2 R B2 U' R',B2 U L' F2 L U' L U L2 F2 L B2,D' R D R' F2 U2 B F2 R' B' R F2 U2 F2,53
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,L F D2 F2 D,R' B' L' B L' B2 L2 U' R,B D L' D' B U2 B L' B2 L B,R2 F2 D' F' D F' R2 D2 R' F2 R D2,R2 U R2 U' B R2 D' R2 D B2 U' B U,50
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,D' R2 B' L' F2 D,F2 L R D2 F2 R' U L' R2,U B' L B D' B2 D U' L' B' L',B D B L U' L' U' B' D' U B',R D' R' D F2 L2 B' F2 D B D' F2 L2 F2,51
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,B L' B2 D L' F',R' B' R F2 R2 F2 U2 B',D' B D2 L2 R' F2 L2 R D2 B' D,B2 D B U2 L2 U2 B U' B U B2 D' B,R D' R' D F2 L2 B' F2 D B D' F2 L2 F2,52
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,D' L' R2 B R D2,F' R' B D2 F2 U' L' F2 D2 F,B D' U' L F2 R2 F2 L' D B U,B R F D2 L D' R' B' D2 L2 U L D B',B R B R2 F' U' B' U B F R2 B2 R',54
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,R U' L D R,L' U' B2 R' U L B' R B2,U B2 D U B U B' L2 D',L B2 L2 U R2 B2 L' R U2 R2 B' L2 U2 R',B R B R2 F' U' B' U B F R2 B2 R',50
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,U' F' D R D,B' F' L2 B' L' D2 F L' U2,R' B2 R' B R' B' R B2 R,B D2 F2 D R' F2 R2 D' F D R2 D2 B' D',R2 U R2 U' B R2 D' R2 D B2 U' B U,50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R' U' L' F2 L,L B D B' L2 B L2 D' B' L',U' B' F' U2 B' U B' U B2 U2 F U,U2 L2 U2 L' F L R2 B' R2 U2 L' F' L' U2,R2 D' R D U' R D R' U R D2 R D,54
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,U2 L2 R2 B' U R',U L2 B2 L U2 B' L B2,B2 U' B' D L' U' L D' U2,F' D2 L R2 D R' B' D' B D L' R' D2 F,D' R D R' F2 U2 B F2 R' B' R F2 U2 F2,51
