scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U2 R2 D' U' F R2 D' L2 F2 B U2 D' R2 F R L2 B' D2 B' R' F' B' D2 L B2,x2,B' L D U2,U R F2 R' U' F' U' R' U,L D B2 L F' R U2 B R' B2 L' U' R2,D L B2 R2 D' R2 B2 L' R' F' R D',L U' B F' L2 B' F U' L',47
R' D R U2 B' U B F2 L' R2 D' B2 F2 R2 U' R2 B' D L B2 D' U2,x2,F2 D' R' F U2 L,L' D2 R' D' U F2 R2 B D' U,D' B2 F2 R F2 R' B2 U' B' R B D,B' F L U2 B' L2 B R B' D2 L D2 R' F',F U B' F R' F' R B F' U',52
B D F2 B' U L' R' F L2 F L2 B U' B L2 F' U2 F D' R D' F U',x2,L D B' U2,R D' F R D L U L' B' R2,D2 L' D L F L' B' L' B F' L2 D2,D' L' U B2 U' B' L2 B' D F2 U' F' L F',L U B F' L2 B' F U L',49
U2 L R' D' F2 B2 D2 R F R' B' D2 U L2 F2 L D B D B' U' L D',x2,B' U R' F2 L',F2 D U' F D B' U L' R,L2 D L D' L F' L B' L' B F,U F' U F2 D' L' U L' U L' U2 L D F',L U B F' L2 B' F U L',48
D2 F' R D' F R' L B L' B L2 U2 D F U L2 U2 F' U' F2,x2,L2 D2 B' L' F2,L2 U' B' D B F2 R' D' U,B' D B' F2 L2 B F R B U' F R2,L2 B F L2 B' U F' L F2 U2 F2 D' L2 D,F L2 D2 R2 B R2 D2 L2,48
B2 L R2 B2 L2 B U' B R2 D2 U' L' R B L F B2 R B2 U2 L2 F2,x2,R' F' U2 L2 B,L' U2 R2 U2 R2 U L R2,B' L2 F D' B' D' U' R D2 U' B F',U L' F D' B2 U2 B' D' R2 D2 F' D' B' D U',L' U' L U2 L2 D' U' B' U B D L2 U',53
L2 R' B2 U D R B' D2 R L2 B' F D2 B' L2 U2 R' F D B2 D' U' R2,x2,U2 R D B' F2,L' D R D B F L' B2 D2 U,B' U B' L2 R2 D' F2 L B L B' R2,D2 R' U L D U R2 U R D' F2 U L' R D2,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,56
R' B' L' R' B' D F2 B L' U2 D2 F2 L R2 B' D2 U' R2 U2 F' D' L2,x2,U F' L' B' D R,B L F2 D' U2 F' R' B2 D2 U,B L R2 D L2 R' D2 B2 R' U' B L',F D' B2 L2 U' R' U L' U2 L' R2 B' R' D F',L' U' L U2 L2 D' U' B' U B D L2 U',56
U L R2 D2 L F' B2 D B' L2 B D L2 F L' F L2 D' L F D R,x2,D2 F2 U R' B',L2 D U L' R B F R' B2 R',L' R' B' R F' D2 R' B2 R F D' L D2,U L' F D2 R' D R B2 R' U' B2 D F' L2 U',U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,57
R' U F' U F' D' U2 B R2 U F D2 B F2 U2 B U R B' D L B2 L B2,x2,F2 L' D2 B' R,B F' D L F' L2 R2 D' U,B' L' F2 U2 F' D' R B R' D L B F',F' U' B F' L2 D2 F' D2 B' U' F L' F U2 F L,F L2 D2 R2 B R2 D2 L2,51
