scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,F' R B2 L2 U' L2,D' U L R B2 L' U',U2 L F U2 R2 F' U' L' F' L2 F U',F L2 B' L' B U' B' L B U L2 F',D2 R B' U2 B R' D2 R B' U2 B R',49
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R D' L' R2 U2 F,R' B L2 D R2 D' U' L2 R',B2 L R' B U2 B' L' B2 R,D2 L2 F2 L2 F2 R' D2 L' D2 R D2,R B' U2 B R' D2 R B' U2 B R' D2,47
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D F' U2 L' F,D F L F' U R' U' B,R U B U2 B2 F D' R' F' R2 B,D' R' B' R B D2 B' L B' L' B D',F2 L2 F2 D F' R D2 B' U2 B D2 R' F D',50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,U2 B2 F D2 R2 U,U R2 F' D' R' D F R U',D L2 R D' L F2 L2 R F L' R2 D,R' U2 F2 L' F2 U' R U' R2 F2 L2 F2 R2,R B' U2 B R' D2 R B' U2 B R' D2,52
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,F' L B2 F2 L2,D' B U R D' R D' U',D L' R D2 L' R F L2 R2 D',B' L B' L' U L B L' U' B,R F D F' R2 B R' F2 U' F2 R2 B' D',46
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,B2 L D2 R2 D F2,R2 D' B' L B' L' D R2 B2,R F R B2 D R2 B2 R F' R U,R2 F2 L2 B L' B' L' B L' B' F2 R2,D2 R B' U2 B R' D2 R B' U2 B R',50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,B2 D2 U F' L U2 L2,F2 D' U' L' F2 R U B' D2,R' B U' B2 R U R B R' U',F D2 F' D B' D' U R2 U' F D2 B' F',D2 B D B' D L' F U L U' F' L,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,F' R2 D' B' U R2,D2 B2 U L B2 L' R U',R' B2 F' U2 F R2 B' R',L D B2 U B D' U' R2 F' U F L' R2,D F' R2 B U' B' R2 F2 D' F',45
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,L D' R' F' L' U2,F U L' R' D R B' L U' L,R' B' L R' U' R U' L' R B',L' R2 U2 R2 D B D2 B' D R2 U L' U R2,L2 B2 U' B' F R' F2 D2 F2 R B F' U B2,54
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,D' L D2 B2 U' R,U F R D' R' F' D2 R U',L R' U2 B U' B2 R B R2 U L' R2,B2 R' U B' U2 B U R U B U' B2,F' L2 U' F R' F R F2 U2 L2 U' F' L F2,53
