scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L' R2 B2 F' R2,L D L2 F' D' F2 D2 F2,L2 B' L2 B D2 U' R' U F D2 L2,L' B' L2 D L' D' U B U' L2 B L,,36
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,B2 L' D L2 F' R2 U,L' U L2 F' D F U',L' R' U' F2 R B2 F' R U R2 F' R,D2 F' D B D' B2 F2 D L' D' B2 F' D2,D2 R' F U2 F' R D2 R' F U2 F' R,51
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,D F' U' B2 L' F D,L F2 D R' B2 R F2,D2 F R' D' F' D2 B U2 B' R' D,B L B L2 D2 F2 U' R2 U F2 D2 L B2,D F2 L' F U2 B' R B' R' B2 U2 F D',51
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,R2 U L' D B' R U,F' L' U2 L B2 L' D2 U2 F,U' B2 D' L U2 L' R2 U B' D U',L B' L' D' B2 D' F2 U' R' U F2 D2 B2 L',B' D' R' B' R D B D' R D' R' D2,53
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,B' U R' B' U B2,U' F' D' F2 R F' U L,U' B2 D B L F L' B' D2 R2 D,D F L F2 D2 B D B' D2 F D2,R' F U2 F' R D2 R' F U2 F' R D2,48
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D2 U2 L D' R' D2,U' F2 R2 U F L' F' L' D,U' B F' L2 F D' B D B' U',D B R B D B' R F2 U F2 R B2 R,R' F U2 F' R D2 R' F U2 F' R D2,50
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,F2 L D' L' U' R,D L2 R2 B R2 F2 D',F L2 U' R D' R' U L2 F',L' D' B' F2 U R2 U' F2 D B' L2 B2 L' B2,R' F U2 F' R D2 R' F U2 F' R D2,48
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,L' D U' R F2 D,F2 R2 D2 R' F2 U' L2 U2,U2 B2 L B' D' R D U' L' B2 U2,B2 U' B L2 R' U' L' R B L' B' U B2,R' F U2 F' R D2 R' F U2 F' R D2,50
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,R U' F2 R B',D F2 L B2 L2 B' L2 B2 D',D U2 F2 L' F U' F' L F2 D' U2,D B' L2 R2 F2 U L R' F' D' F' L R',,38
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,F' R D F' U2,L2 U B' F' D' B F U',L2 U B' L2 B U' L2 D F2 L' F2 D',R2 F' U F L2 F U F' R2 D L B' D' L,B' L R2 D2 R2 B' U B U' R2 D2 R2 B L',53
