scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U' D F2 B U2 F U D L' U B' L R' U2 L2 B' U' B' D L2 R F L2 B2 D',x2,L2 F' D L F2,F L' B2 L R U' R',L' U B' U' L' B L2 B L' B',F' U' R D' F' D F R F R2 U F,L U L' U L U2 F2 D R D' F2 L',46
F2 L F' D' R2 D2 U R2 U D2 R2 D2 F U' L U2 D F U2 R',x2,D' F' U2 L D2 F',U R' D2 B' D' B D' U',B D' B' R' U' R D L B',B U' B2 R2 D' R' F' D' F D2 R' B,R' U' R D U B2 U2 B' U B U B2 D',48
F2 R' B' R' L F' L2 B' L D' F B D F U' F L B' D2 L D' L' R2,x2,L' D' L' D F' U' F2,U2 R2 F2 R U L D L' U,L' B' U B' U' B2 L B2 L2 B2,B L' B L D L D' B2 U B U' B',D F D' F2 U L2 U' L2 F D' L2 D L2,51
R' D' L' U2 R D2 B2 F D' F R2 L' D2 B U F2 L B U D2 F' B U' L',x2,R' F D' R2 F,U2 L2 B L2 D R' D' F' U2,B' D B L2 B' F L' F' D' L2,R2 U L F2 R2 B' D B R2 F2 L' R2,,36
B D' B2 F R' B2 F2 R F B2 U2 L' F' R2 U L2 D L' U B2 L' B U2 B2 U',x2,R2 D L' B2 U2 L2,L B F2 D U2 F' U2 L' D2 F',L B' R' U2 L2 R B2 L B' L',U2 R2 D' F U' R' F' R F' D U R2,L U L' U L U2 F2 D R D' F2 L',50
L' D' R2 D R F B2 D L2 R' B U2 D R2 D' R U' D R' B L' B,x2,D' U' L' D' R' F,B2 D' B2 R F' R' U' F2 U,L U2 L B2 L U2 L2 U L U,R B' R2 U R2 B2 D L B D' B2 R',L F2 R' F' R F D2 R D2 F L' F,49
D F2 D' B U' F' B' U2 L2 B' L2 B2 R' L' D' B D2 B L' U2 F2 L2 U2 R,x2,R2 U' B2 L' D2 R2 F2,B U' F' U B' U2 F2 U2,L' B R' U2 L U' R B2 L2 B2,U2 R' F' U F' U' F' U F2 U2 R U',R' U' R D U B2 U2 B' U B U B2 D',50
D' U F2 R2 L' B' R F R U L' U' R' D F' L2 D F' R2 B2 F' U' F2 L2,x2,L2 D' R2 B D2,U' F' L B2 D' F' L' R2 D,U2 L2 B' L U L' B2 L2 U2,U' F' D' F U' L2 U' L2 U2 F' D F,L' B' R' U2 L' R B' L' D2 R F' R' D2 L',49
D2 B U' D' B' L B2 U D' F2 R2 U2 B F2 L D2 F R F' U,x2,U F' L' B' L' U,U2 L' U R2 U2 L F2 U2,R' F' L F U L U L' R B2,U' F U F U' B U B' D R' D' F2 U,U' L' U2 L' D' L U' R' U L' R B2 D L2,51
D2 B' U R' F' R F2 L' U' D2 F2 U' B2 U' D' B L D R2 B2,x2,D2 B' D2 U' F2 R,U B2 F2 L' B2 F2 U',U2 B' U L U' B U2 B2 L B2,B R' D U L' U' F' L' F L D' R B',L2 D' L2 D F' L2 U L2 U' F2 D F' D',49
